#: table_doi: 10.17182/hepdata.159952.v1/t14
#: name: Figure 10
#: description: Centrality dependence of  $N_{\rm part}\Delta\gamma^{132}$ (red square) and $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ (blue circle) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{132}(\kappa_{\rm{bg}}=1)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure10.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0193,0.0173,-0.0173,0.0016,-0.0016,0.0072,-0.0072
65.0,60.0,70.0,-0.011,0.007,-0.007,0.004,-0.004,0.003,-0.003
55.0,50.0,60.0,-0.0049,0.0041,-0.0041,0.0031,-0.0031,0.001,-0.001
45.0,40.0,50.0,0.0042,0.0028,-0.0028,0.0004,-0.0004,0.0006,-0.0006
35.0,30.0,40.0,0.013,0.0024,-0.0024,0.0014,-0.0014,0.0013,-0.0013
25.0,20.0,30.0,0.0147,0.0024,-0.0024,0.0003,-0.0003,0.0009,-0.0009
15.0,10.0,20.0,0.0104,0.0031,-0.0031,0.0004,-0.0004,0.0004,-0.0004
7.5,5.0,10.0,0.0101,0.0078,-0.0078,0.0052,-0.0052,0.0002,-0.0002
2.5,0.0,5.0,-0.02214,0.02188,-0.02188,0.02482,-0.02482,0.00013,-0.00013

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.011,0.039,-0.039,0.034,-0.034,0.004,-0.004
65.0,60.0,70.0,-0.0011,0.015,-0.015,0.0125,-0.0125,0.0003,-0.0003
55.0,50.0,60.0,-0.0033,0.0077,-0.0077,0.0057,-0.0057,0.0007,-0.0007
45.0,40.0,50.0,0.0023,0.0049,-0.0049,0.001,-0.001,0.0003,-0.0003
35.0,30.0,40.0,-0.0081,0.0041,-0.0041,0.003,-0.003,0.0008,-0.0008
25.0,20.0,30.0,-0.00164,0.00418,-0.00418,0.00107,-0.00107,0.0001,-0.0001
15.0,10.0,20.0,-0.00507,0.00553,-0.00553,0.0058,-0.0058,0.00019,-0.00019
7.5,5.0,10.0,0.0119,0.0139,-0.0139,0.0042,-0.0042,0.0002,-0.0002
2.5,0.0,5.0,0.02789,0.04551,-0.04551,0.12307,-0.12307,0.00016,-0.00016

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.019,0.017,-0.017,0.014,-0.014,0.007,-0.007
65.0,60.0,70.0,-0.013,0.007,-0.007,0.007,-0.007,0.004,-0.004
55.0,50.0,60.0,-0.0095,0.004,-0.004,0.0049,-0.0049,0.0019,-0.0019
45.0,40.0,50.0,-0.0039,0.0027,-0.0027,0.0029,-0.0029,0.0005,-0.0005
35.0,30.0,40.0,0.00191,0.00226,-0.00226,0.00112,-0.00112,0.00019,-0.00019
25.0,20.0,30.0,0.00217,0.00227,-0.00227,0.00295,-0.00295,0.00013,-0.00013
15.0,10.0,20.0,-0.0011,0.00301,-0.00301,0.00157,-0.00157,4e-05,-4e-05
7.5,5.0,10.0,0.00129,0.00761,-0.00761,0.00503,-0.00503,3e-05,-3e-05
2.5,0.0,5.0,-0.02698,0.02161,-0.02161,0.02514,-0.02514,0.00016,-0.00016

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.034,0.013,-0.013,0.003,-0.003,0.012,-0.012
65.0,60.0,70.0,0.0063,0.0056,-0.0056,0.0021,-0.0021,0.0017,-0.0017
55.0,50.0,60.0,0.0076,0.0031,-0.0031,0.0002,-0.0002,0.0015,-0.0015
45.0,40.0,50.0,0.00541,0.00213,-0.00213,6e-05,-6e-05,0.00074,-0.00074
35.0,30.0,40.0,0.0088,0.0018,-0.0018,0.0004,-0.0004,0.0009,-0.0009
25.0,20.0,30.0,0.0117,0.0018,-0.0018,0.0003,-0.0003,0.0007,-0.0007
15.0,10.0,20.0,0.0147,0.0024,-0.0024,0,0,0.0006,-0.0006
7.5,5.0,10.0,0.00402,0.00651,-0.00651,0,0,8e-05,-8e-05
2.5,0.0,5.0,.,0,0,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.06,0.026,-0.026,0.011,-0.011,0.022,-0.022
65.0,60.0,70.0,0.011,0.011,-0.011,0.002,-0.002,0.003,-0.003
55.0,50.0,60.0,-0.00109,0.00556,-0.00556,0.00013,-0.00013,0.00022,-0.00022
45.0,40.0,50.0,-0.0018,0.0037,-0.0037,0.0036,-0.0036,0.0002,-0.0002
35.0,30.0,40.0,-0.0027,0.0031,-0.0031,0.0008,-0.0008,0.0003,-0.0003
25.0,20.0,30.0,-0.005,0.0032,-0.0032,0.0002,-0.0002,0.0003,-0.0003
15.0,10.0,20.0,0.00379,0.00426,-0.00426,0.00198,-0.00198,0.00014,-0.00014
7.5,5.0,10.0,-0.0076,0.0115,-0.0115,0.00588,-0.00588,0.00016,-0.00016
2.5,0.0,5.0,.,0,0,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.033,0.013,-0.013,0.015,-0.015,0.012,-0.012
65.0,60.0,70.0,0.0042,0.0055,-0.0055,0.0028,-0.0028,0.0012,-0.0012
55.0,50.0,60.0,0.0024,0.003,-0.003,0.0005,-0.0005,0.0005,-0.0005
45.0,40.0,50.0,-0.0028,0.002,-0.002,0.0017,-0.0017,0.0004,-0.0004
35.0,30.0,40.0,-0.00201,0.00174,-0.00174,0.00104,-0.00104,0.0002,-0.0002
25.0,20.0,30.0,-0.000309,0.001742,-0.001742,0.000472,-0.000472,1.9e-05,-1.9e-05
15.0,10.0,20.0,0.00368,0.00233,-0.00233,0.00308,-0.00308,0.00014,-0.00014
7.5,5.0,10.0,-0.0041,0.00636,-0.00636,0.00196,-0.00196,8e-05,-8e-05
2.5,0.0,5.0,.,0,0,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0021,0.0093,-0.0093,0.0048,-0.0048,0.0008,-0.0008
65.0,60.0,70.0,-0.00015,0.00395,-0.00395,0.00074,-0.00074,4e-05,-4e-05
55.0,50.0,60.0,0.0038,0.0024,-0.0024,0.0008,-0.0008,0.0008,-0.0008
45.0,40.0,50.0,0.005,0.0016,-0.0016,0.0005,-0.0005,0.0007,-0.0007
35.0,30.0,40.0,0.0098,0.0014,-0.0014,0.0007,-0.0007,0.001,-0.001
25.0,20.0,30.0,0.013,0.0014,-0.0014,0.0006,-0.0006,0.0008,-0.0008
15.0,10.0,20.0,0.015,0.0019,-0.0019,0.0003,-0.0003,0.0006,-0.0006
7.5,5.0,10.0,0.0109,0.0053,-0.0053,0,0,0.0002,-0.0002
2.5,0.0,5.0,0.02254,0.01663,-0.01663,0.00417,-0.00417,0.00013,-0.00013

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.015,0.017,-0.017,0.005,-0.005,0.006,-0.006
65.0,60.0,70.0,-0.01,0.0075,-0.0075,0.0018,-0.0018,0.0028,-0.0028
55.0,50.0,60.0,0.004,0.0042,-0.0042,0.0031,-0.0031,0.0008,-0.0008
45.0,40.0,50.0,-0.0032,0.0028,-0.0028,0.0007,-0.0007,0.0004,-0.0004
35.0,30.0,40.0,0.00078,0.00243,-0.00243,0.00064,-0.00064,8e-05,-8e-05
25.0,20.0,30.0,0.000241,0.002502,-0.002502,0.000387,-0.000387,1.5e-05,-1.5e-05
15.0,10.0,20.0,0.000485,0.003391,-0.003391,0.0029,-0.0029,1.8e-05,-1.8e-05
