#: table_doi: 10.17182/hepdata.159952.v1/t15
#: name: Figure 11
#: description: Centrality dependence of the ratio $\gamma^{112}_{\rm ESS}/\gamma^{112}$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars and shaded boxes represent the statistical and systematic uncertainties, respectively. The horizontal dashed lines denote constant fits over the 20\%--50\% centrality region. 
#: data_file: Figure11.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,4,6,-6,0,0
65.0,60.0,70.0,-5.5,2.7,-2.7,0.6,-0.6
55.0,50.0,60.0,0.3,0.5,-0.5,0,0
45.0,40.0,50.0,-0.17,0.18,-0.18,0.05,-0.05
35.0,30.0,40.0,0.08,0.14,-0.14,0.06,-0.06
25.0,20.0,30.0,-0.41,0.19,-0.19,0.1,-0.1
15.0,10.0,20.0,-0.18,0.25,-0.25,0.1,-0.1
7.5,5.0,10.0,0.01,0.59,-0.59,0.11,-0.11
2.5,0.0,5.0,-0.7,6.1,-6.1,1.9,-1.9

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.24,1.29,-1.29,0.13,-0.13
65.0,60.0,70.0,0.89,0.66,-0.66,0.1,-0.1
55.0,50.0,60.0,0.1,0.32,-0.32,0.15,-0.15
45.0,40.0,50.0,0.23,0.15,-0.15,0.06,-0.06
35.0,30.0,40.0,-0.091,0.11,-0.11,0.017,-0.017
25.0,20.0,30.0,-0.01,0.11,-0.11,0.08,-0.08
15.0,10.0,20.0,-0.21,0.22,-0.22,0.14,-0.14
7.5,5.0,10.0,-3,3,-3,0,0
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.52,1.43,-1.43,0.06,-0.06
65.0,60.0,70.0,0.3,0.5,-0.5,0.4,-0.4
55.0,50.0,60.0,0.26,0.2,-0.2,0.03,-0.03
45.0,40.0,50.0,0.38,0.1,-0.1,0.07,-0.07
35.0,30.0,40.0,0.15,0.08,-0.08,0.02,-0.02
25.0,20.0,30.0,0,0.1,-0.1,0.04,-0.04
15.0,10.0,20.0,-0.14,0.17,-0.17,0.04,-0.04
7.5,5.0,10.0,0.3,0.6,-0.6,0.4,-0.4
2.5,0.0,5.0,1,15,-15,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,5,4,-4,0,0
65.0,60.0,70.0,0,0.6,-0.6,0.2,-0.2
55.0,50.0,60.0,0.04,0.21,-0.21,0.03,-0.03
45.0,40.0,50.0,0.19,0.11,-0.11,0.03,-0.03
35.0,30.0,40.0,0.18,0.08,-0.08,0.05,-0.05
25.0,20.0,30.0,0.118,0.083,-0.083,0.016,-0.016
15.0,10.0,20.0,0.12,0.15,-0.15,0.04,-0.04
7.5,5.0,10.0,-0.09,0.7,-0.7,0.07,-0.07
2.5,0.0,5.0,-3.2,9,-9,0.8,-0.8

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,11,41,-41,3,-3
65.0,60.0,70.0,0.8,1,-1,0.2,-0.2
55.0,50.0,60.0,0.18,0.24,-0.24,0.07,-0.07
45.0,40.0,50.0,-0.02,0.15,-0.15,0.04,-0.04
35.0,30.0,40.0,0.1846,0.1089,-0.1089,0.0014,-0.0014
25.0,20.0,30.0,0.1,0.11,-0.11,0.06,-0.06
15.0,10.0,20.0,-0.02,0.17,-0.17,0.06,-0.06
7.5,5.0,10.0,-0.74,0.93,-0.93,0.1,-0.1
2.5,0.0,5.0,0,3,-3,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.9,0.8,-0.8,0,0
65.0,60.0,70.0,-0.4,0.6,-0.6,0.5,-0.5
55.0,50.0,60.0,0.37,0.17,-0.17,0,0
45.0,40.0,50.0,0.247,0.096,-0.096,0.003,-0.003
35.0,30.0,40.0,0.17,0.07,-0.07,0.02,-0.02
25.0,20.0,30.0,0.08,0.074,-0.074,0.02,-0.02
15.0,10.0,20.0,0.048,0.121,-0.121,0.007,-0.007
7.5,5.0,10.0,-0.7,0.7,-0.7,0.3,-0.3
2.5,0.0,5.0,-0.4,1.4,-1.4,0.2,-0.2

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-8.7,3.4,-3.4,0.4,-0.4
65.0,60.0,70.0,0.9,0.7,-0.7,0.3,-0.3
55.0,50.0,60.0,-0.005,0.386,-0.386,0.015,-0.015
45.0,40.0,50.0,0.05,0.14,-0.14,0.05,-0.05
35.0,30.0,40.0,0.15,0.1,-0.1,0.03,-0.03
25.0,20.0,30.0,0.03,0.11,-0.11,0.03,-0.03
15.0,10.0,20.0,-0.1,0.17,-0.17,0.14,-0.14
7.5,5.0,10.0,-0.2,0.6,-0.6,0.2,-0.2
2.5,0.0,5.0,0.3,1.3,-1.3,0.6,-0.6

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\Delta\gamma^{112}_{ESS}/\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.5,1.3,-1.3,0.2,-0.2
65.0,60.0,70.0,0.24,0.23,-0.23,0.06,-0.06
55.0,50.0,60.0,0.11,0.11,-0.11,0.03,-0.03
45.0,40.0,50.0,0.05,0.09,-0.09,0.02,-0.02
35.0,30.0,40.0,-0.016,0.081,-0.081,0.015,-0.015
25.0,20.0,30.0,-0.11,0.11,-0.11,0.05,-0.05
15.0,10.0,20.0,0.1,0.2,-0.2,0,0
7.5,5.0,10.0,0.2,0.7,-0.7,0.3,-0.3
2.5,0.0,5.0,-29,815,-815,0,0

