#: table_doi: 10.17182/hepdata.159952.v1/t16
#: name: Figure 12
#: description: Beam energy dependence of $N_{\rm part}\langle\Delta\gamma^{112}\rangle$ (a) and $N_{\rm part}\langle\Delta\gamma^{132}\rangle$ (b), together with ESS results obtained using four recipes, in 20--50\% Au+Au collisions. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. 
#: data_file: Figure12.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.026,0.0014,-0.0014,0.0019,-0.0019,0.0014,-0.0014
9.2,0.0275,0.0011,-0.0011,0.0005,-0.0005,0.0014,-0.0014
11.5,0.0276,0.0009,-0.0009,0.001,-0.001,0.0014,-0.0014
14.6,0.0274,0.0008,-0.0008,0.0012,-0.0012,0.0014,-0.0014
17.3,0.0273,0.001,-0.001,0.0004,-0.0004,0.0014,-0.0014
19.6,0.0268,0.0007,-0.0007,0.0004,-0.0004,0.0013,-0.0013
27.0,0.0265,0.001,-0.001,0.0005,-0.0005,0.0013,-0.0013
200.0,0.0205,0.0006,-0.0006,0.0005,-0.0005,0.001,-0.001

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112}_{ESS}(a)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.0053,0.0021,-0.0021,0.0005,-0.0005,0.0004,-0.0004
9.2,0.005,0.0016,-0.0016,0.0002,-0.0002,0.0003,-0.0003
11.5,0.0085,0.0013,-0.0013,0.0012,-0.0012,0.0006,-0.0006
14.6,0.0095,0.0012,-0.0012,0.0011,-0.0011,0.0005,-0.0005
17.3,0.0069,0.0016,-0.0016,0.0011,-0.0011,0.0004,-0.0004
19.6,0.0088,0.001,-0.001,0.0005,-0.0005,0.0005,-0.0005
27.0,0.0068,0.0015,-0.0015,0,0,0.0004,-0.0004
200.0,0.00284,0.0009,-0.0009,0.00035,-0.00035,0.0002,-0.0002

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112}_{ESS}(b)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.0021,0.0021,-0.0021,0.0017,-0.0017,0.0003,-0.0003
9.2,0.005,0.0016,-0.0016,0.0003,-0.0003,0.0004,-0.0004
11.5,0.0082,0.0013,-0.0013,0.001,-0.001,0.0006,-0.0006
14.6,0.0078,0.0012,-0.0012,0.0003,-0.0003,0.0005,-0.0005
17.3,0.0063,0.0016,-0.0016,0.0009,-0.0009,0.0004,-0.0004
19.6,0.0073,0.0011,-0.0011,0.0002,-0.0002,0.0004,-0.0004
27.0,0.0055,0.0015,-0.0015,0.0008,-0.0008,0.0003,-0.0003
200.0,0.00219,0.00095,-0.00095,0.00074,-0.00074,0.00019,-0.00019

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112(132)}_{ESS}(d)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,-0.00227,0.00274,-0.00274,0.00017,-0.00017,0.00028,-0.00028
9.2,-0.00322,0.00212,-0.00212,0.00016,-0.00016,0.00024,-0.00024
11.5,0.0018,0.0017,-0.0017,0.0012,-0.0012,0.0004,-0.0004
14.6,0.0033,0.0015,-0.0015,0.0011,-0.0011,0.0002,-0.0002
17.3,-0.00022,0.00207,-0.00207,0.00154,-0.00154,0.0001,-0.0001
19.6,0.0025,0.0014,-0.0014,0.0009,-0.0009,0.0002,-0.0002
27.0,1e-05,0.00195,-0.00195,0.00044,-0.00044,8e-05,-8e-05
200.0,-0.00303,0.00115,-0.00115,0.00037,-0.00037,0.00017,-0.00017

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112}_{ESS}(c optimal)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,-0.0037,0.0025,-0.0025,0.0016,-0.0016,0.0003,-0.0003
9.2,0.0004,0.0019,-0.0019,0.0004,-0.0004,0.0002,-0.0002
11.5,0.0046,0.0015,-0.0015,0.001,-0.001,0.0004,-0.0004
14.6,0.0044,0.0014,-0.0014,0.0003,-0.0003,0.0003,-0.0003
17.3,0.00287,0.00183,-0.00183,0.0011,-0.0011,0.0002,-0.0002
19.6,0.0041,0.0012,-0.0012,0.0003,-0.0003,0.0003,-0.0003
27.0,0.00222,0.00173,-0.00173,0.00094,-0.00094,0.00016,-0.00016
200.0,-0.00035,0.00105,-0.00105,0.00076,-0.00076,7e-05,-7e-05

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.0113,0.0014,-0.0014,0.0006,-0.0006,0.0006,-0.0006
9.2,0.009,0.0011,-0.0011,0.0004,-0.0004,0.0004,-0.0004
11.5,0.0097,0.0009,-0.0009,0.0005,-0.0005,0.0005,-0.0005
14.6,0.0087,0.0008,-0.0008,0.0006,-0.0006,0.0004,-0.0004
17.3,0.0099,0.001,-0.001,0.0006,-0.0006,0.0005,-0.0005
19.6,0.0082,0.0007,-0.0007,0.0005,-0.0005,0.0004,-0.0004
27.0,0.0093,0.001,-0.001,0.0005,-0.0005,0.0005,-0.0005
200.0,0.00985,0.00058,-0.00058,7e-05,-7e-05,0.00053,-0.00053

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}_{ESS}(a)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.00097,0.00213,-0.00213,0.00152,-0.00152,5e-05,-5e-05
9.2,0.0013,0.00164,-0.00164,0.0001,-0.0001,9e-05,-9e-05
11.5,0.00206,0.00129,-0.00129,0.00058,-0.00058,0.00012,-0.00012
14.6,0.0017,0.0012,-0.0012,0.0003,-0.0003,0.0002,-0.0002
17.3,0.00051,0.00161,-0.00161,0.00052,-0.00052,4e-05,-4e-05
19.6,0.00167,0.00105,-0.00105,0.00023,-0.00023,0.00012,-0.00012
