#: table_doi: 10.17182/hepdata.159952.v1/t17
#: name: Figure 13
#: description: Centrality dependence of the normalized correlator  $\kappa^{112}$ (solid circle) and $\kappa^{132}$ (open circle) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV.
#: data_file: Figure13.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,95,99,-99,41,-41
65.0,60.0,70.0,3.1,3.7,-3.7,1.1,-1.1
55.0,50.0,60.0,3.33,0.86,-0.86,0.13,-0.13
45.0,40.0,50.0,3.39,0.34,-0.34,0.09,-0.09
35.0,30.0,40.0,2.6,0.2,-0.2,0.2,-0.2
25.0,20.0,30.0,1.78,0.19,-0.19,0.13,-0.13
15.0,10.0,20.0,1.89,0.27,-0.27,0.07,-0.07
7.5,5.0,10.0,2.7,0.9,-0.9,0.3,-0.3
2.5,0.0,5.0,1.41,4.3,-4.3,0.2,-0.2

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-99,100,-100,0,0
65.0,60.0,70.0,-6,4,-4,2,-2
55.0,50.0,60.0,-1,0.9,-0.9,0.6,-0.6
45.0,40.0,50.0,0.51,0.34,-0.34,0.04,-0.04
35.0,30.0,40.0,1.18,0.22,-0.22,0.1,-0.1
25.0,20.0,30.0,1.181,0.193,-0.193,0.003,-0.003
15.0,10.0,20.0,0.9,0.27,-0.27,0.02,-0.02
7.5,5.0,10.0,1.1,0.9,-0.9,0.6,-0.6
2.5,0.0,5.0,-4,4,-4,5,-5

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-161,226,-226,268,-268
65.0,60.0,70.0,8.9,2.9,-2.9,0.7,-0.7
55.0,50.0,60.0,3.41,0.61,-0.61,0.03,-0.03
45.0,40.0,50.0,2.95,0.26,-0.26,0.08,-0.08
35.0,30.0,40.0,2.66,0.17,-0.17,0.07,-0.07
25.0,20.0,30.0,2.33,0.153,-0.153,0.012,-0.012
15.0,10.0,20.0,1.8,0.22,-0.22,0.05,-0.05
7.5,5.0,10.0,1.01,0.8,-0.8,0.03,-0.03
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,212,260,-260,462,-462
65.0,60.0,70.0,3.2,2.9,-2.9,1,-1
55.0,50.0,60.0,1.48,0.61,-0.61,0.09,-0.09
45.0,40.0,50.0,0.648,0.26,-0.26,0.011,-0.011
35.0,30.0,40.0,0.81,0.17,-0.17,0.03,-0.03
25.0,20.0,30.0,0.97,0.15,-0.15,0,0
15.0,10.0,20.0,1.349,0.224,-0.224,0.019,-0.019
7.5,5.0,10.0,0.49,0.8,-0.8,0.06,-0.06
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-43,42,-42,49,-49
65.0,60.0,70.0,6.7,1.8,-1.8,0.3,-0.3
55.0,50.0,60.0,4.165,0.487,-0.487,0.014,-0.014
45.0,40.0,50.0,3.6,0.2,-0.2,0.3,-0.3
35.0,30.0,40.0,2.82,0.14,-0.14,0.05,-0.05
25.0,20.0,30.0,2.3,0.13,-0.13,0.06,-0.06
15.0,10.0,20.0,2.06,0.19,-0.19,0.05,-0.05
7.5,5.0,10.0,2.16,0.71,-0.71,0.08,-0.08
2.5,0.0,5.0,-0.2,3.6,-3.6,1.5,-1.5

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-14,42,-42,10,-10
65.0,60.0,70.0,0.03,1.78,-1.78,0.18,-0.18
55.0,50.0,60.0,0.65,0.49,-0.49,0.05,-0.05
45.0,40.0,50.0,0.71,0.21,-0.21,0.05,-0.05
35.0,30.0,40.0,0.98,0.14,-0.14,0.02,-0.02
25.0,20.0,30.0,1.182,0.129,-0.129,0.012,-0.012
15.0,10.0,20.0,1.501,0.195,-0.195,0.009,-0.009
7.5,5.0,10.0,1.47,0.71,-0.71,0.08,-0.08
2.5,0.0,5.0,4.9,3.7,-3.7,0.8,-0.8

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-230,442,-442,229,-229
65.0,60.0,70.0,6.8,2,-2,2.8,-2.8
55.0,50.0,60.0,3.9,0.5,-0.5,0.4,-0.4
45.0,40.0,50.0,3.33,0.21,-0.21,0.09,-0.09
35.0,30.0,40.0,3.05,0.14,-0.14,0.12,-0.12
25.0,20.0,30.0,2.73,0.13,-0.13,0.12,-0.12
15.0,10.0,20.0,2.31,0.2,-0.2,0.14,-0.14
7.5,5.0,10.0,1.83,0.72,-0.72,0.14,-0.14
2.5,0.0,5.0,-1.2,3.6,-3.6,0.7,-0.7

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,123,387,-387,0,0
65.0,60.0,70.0,-2.1,2,-2,0.3,-0.3
55.0,50.0,60.0,-0.21,0.48,-0.48,0.06,-0.06
45.0,40.0,50.0,0.8,0.21,-0.21,0.11,-0.11
35.0,30.0,40.0,0.9,0.14,-0.14,0.02,-0.02
25.0,20.0,30.0,1.05,0.13,-0.13,0.12,-0.12
15.0,10.0,20.0,1.19,0.2,-0.2,0.06,-0.06
7.5,5.0,10.0,1.8,0.7,-0.7,0.2,-0.2
2.5,0.0,5.0,-4.7,3.6,-3.6,0.4,-0.4

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-32,138,-138,0,0
65.0,60.0,70.0,5.4,2.6,-2.6,0.6,-0.6
55.0,50.0,60.0,4.8,0.6,-0.6,0.5,-0.5
45.0,40.0,50.0,3.31,0.28,-0.28,0.08,-0.08
35.0,30.0,40.0,2.956,0.184,-0.184,0.005,-0.005
25.0,20.0,30.0,2.74,0.17,-0.17,0.09,-0.09
15.0,10.0,20.0,2.57,0.24,-0.24,0.08,-0.08
7.5,5.0,10.0,1.7,0.9,-0.9,0.7,-0.7
2.5,0.0,5.0,3,4,-4,3,-3

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,32,138,-138,20,-20
65.0,60.0,70.0,4,2.6,-2.6,0.4,-0.4
55.0,50.0,60.0,0.7,0.65,-0.65,0.11,-0.11
45.0,40.0,50.0,1.04,0.28,-0.28,0.13,-0.13
35.0,30.0,40.0,1.01,0.18,-0.18,0.14,-0.14
25.0,20.0,30.0,1.13,0.17,-0.17,0.04,-0.04
15.0,10.0,20.0,1.05,0.24,-0.24,0.14,-0.14
7.5,5.0,10.0,2.2,0.88,-0.88,0.18,-0.18
2.5,0.0,5.0,1,4.5,-4.5,0.8,-0.8

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,4719,106,-106,208,-208
65.0,60.0,70.0,6.7,2.2,-2.2,1.2,-1.2
