#: table_doi: 10.17182/hepdata.159952.v1/t18
#: name: Figure 14
#: description: Centrality dependence of the background coefficient  $\kappa_{\rm{bg}}^{112}$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The horizontal dashed line at 2.5 is to guide the eye. For comparison, the simulation results from EBE-AVFD are shown at 200 GeV (red band) and the simulation results from AMPT are shown for 200, 27, 19.6, 14.6, and 7.7 GeV (gray band).
#: data_file: Figure14.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-29,31,-31,0,0
65.0,60.0,70.0,4,10,-10,5,-5
55.0,50.0,60.0,2.3,1.74,-1.74,0.06,-0.06
45.0,40.0,50.0,4.05,0.72,-0.72,0.12,-0.12
35.0,30.0,40.0,2.37,0.44,-0.44,0.06,-0.06
25.0,20.0,30.0,2.58,0.41,-0.41,0.05,-0.05
15.0,10.0,20.0,2.3,0.6,-0.6,0,0
7.5,5.0,10.0,2.6,1.8,-1.8,0.3,-0.3
2.5,0.0,5.0,1,9,-9,4,-4

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-424,15593,-15593,0,0
65.0,60.0,70.0,0.8,5.1,-5.1,0.3,-0.3
55.0,50.0,60.0,3,1.2,-1.2,1.1,-1.1
45.0,40.0,50.0,2.21,0.5,-0.5,0.14,-0.14
35.0,30.0,40.0,2.93,0.34,-0.34,0.04,-0.04
25.0,20.0,30.0,2.35,0.31,-0.31,0.1,-0.1
15.0,10.0,20.0,2.2,0.46,-0.46,0.12,-0.12
7.5,5.0,10.0,4,1.7,-1.7,0.3,-0.3
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-123,1036,-1036,0,0
65.0,60.0,70.0,5,4,-4,7,-7
55.0,50.0,60.0,3.05,0.97,-0.97,0.2,-0.2
45.0,40.0,50.0,2.12,0.4,-0.4,0.11,-0.11
35.0,30.0,40.0,2.359,0.276,-0.276,0.011,-0.011
25.0,20.0,30.0,2.3,0.3,-0.3,0,0
15.0,10.0,20.0,2.33,0.4,-0.4,0.06,-0.06
7.5,5.0,10.0,1.5,1.4,-1.4,0.4,-0.4
2.5,0.0,5.0,0.8,7.4,-7.4,1.8,-1.8

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-33,29,-29,4,-4
65.0,60.0,70.0,6.9,4.3,-4.3,0.6,-0.6
55.0,50.0,60.0,3.67,0.96,-0.96,0.08,-0.08
45.0,40.0,50.0,2.61,0.41,-0.41,0.07,-0.07
35.0,30.0,40.0,2.44,0.28,-0.28,0.11,-0.11
25.0,20.0,30.0,2.38,0.26,-0.26,0.06,-0.06
15.0,10.0,20.0,2.02,0.4,-0.4,0.09,-0.09
7.5,5.0,10.0,1.97,1.49,-1.49,0.19,-0.19
2.5,0.0,5.0,-5,7,-7,2,-2

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-31,91,-91,0,0
65.0,60.0,70.0,1,5,-5,5,-5
55.0,50.0,60.0,3.8,1.3,-1.3,0.3,-0.3
45.0,40.0,50.0,3.34,0.57,-0.57,0.09,-0.09
35.0,30.0,40.0,2.4,0.4,-0.4,0,0
25.0,20.0,30.0,2.44,0.34,-0.34,0.04,-0.04
15.0,10.0,20.0,2.62,0.5,-0.5,0.11,-0.11
7.5,5.0,10.0,3.2,1.8,-1.8,0.3,-0.3
2.5,0.0,5.0,2,8,-8,3,-3

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,7,57,-57,0,0
65.0,60.0,70.0,10,5,-5,5,-5
55.0,50.0,60.0,2.76,0.86,-0.86,0.08,-0.08
45.0,40.0,50.0,2.56,0.38,-0.38,0.06,-0.06
35.0,30.0,40.0,2.356,0.242,-0.242,0.017,-0.017
25.0,20.0,30.0,2.409,0.225,-0.225,0.02,-0.02
15.0,10.0,20.0,2.3,0.3,-0.3,0,0
7.5,5.0,10.0,2.9,1.3,-1.3,0.5,-0.5
2.5,0.0,5.0,5,6,-6,4,-4

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-97,525,-525,0,0
65.0,60.0,70.0,1.1,4.5,-4.5,1.4,-1.4
55.0,50.0,60.0,2.93,1.31,-1.31,0.06,-0.06
45.0,40.0,50.0,3.24,0.55,-0.55,0.17,-0.17
35.0,30.0,40.0,2.47,0.34,-0.34,0.06,-0.06
25.0,20.0,30.0,2.41,0.32,-0.32,0.08,-0.08
15.0,10.0,20.0,2.6,0.5,-0.5,0.2,-0.2
7.5,5.0,10.0,3.4,1.8,-1.8,0.5,-0.5
2.5,0.0,5.0,4,8,-8,5,-5

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{112}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,8.5,8.3,-8.3,0.6,-0.6
65.0,60.0,70.0,3.47,1.18,-1.18,0.1,-0.1
55.0,50.0,60.0,3,0.4,-0.4,0.4,-0.4
45.0,40.0,50.0,2.6,0.28,-0.28,0.04,-0.04
35.0,30.0,40.0,2.644,0.241,-0.241,0.011,-0.011
25.0,20.0,30.0,2.76,0.3,-0.3,0.08,-0.08
15.0,10.0,20.0,2,0.5,-0.5,0,0
7.5,5.0,10.0,2,1.9,-1.9,1.3,-1.3
2.5,0.0,5.0,11,9,-9,4,-4

