#: table_doi: 10.17182/hepdata.159952.v1/t19
#: name: Figure 15
#: description: Centrality dependence of the background coefficient  $\kappa_{\rm{bg}}^{132}$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The horizontal dashed line at 1 is to guide the eye. For comparison, the simulation results from EBE-AVFD are shown at 200 GeV (red band) and the simulation results from AMPT are shown for 200, 27, 19.6, 14.6, and 7.7 GeV (gray band).
#: data_file: Figure15.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-115,856,-856,0,0
65.0,60.0,70.0,-5,9,-9,0,0
55.0,50.0,60.0,-0.3,1.8,-1.8,0.4,-0.4
45.0,40.0,50.0,0.23,0.69,-0.69,0.02,-0.02
35.0,30.0,40.0,1.97,0.45,-0.45,0.17,-0.17
25.0,20.0,30.0,1.32,0.39,-0.39,0.08,-0.08
15.0,10.0,20.0,1.4,0.6,-0.6,0.5,-0.5
7.5,5.0,10.0,-0.2,1.8,-1.8,0.8,-0.8
2.5,0.0,5.0,-9,9,-9,22,-22

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\kappa_{bg}^{132}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-16.9,20.5,-20.5,1.9,-1.9
65.0,60.0,70.0,-2,6,-6,0,0
55.0,50.0,60.0,1.7,1.27,-1.27,0.11,-0.11
45.0,40.0,50.0,0.9,0.5,-0.5,0.3,-0.3
35.0,30.0,40.0,1.07,0.34,-0.34,0.12,-0.12
25.0,20.0,30.0,1.41,0.32,-0.32,0.03,-0.03
15.0,10.0,20.0,1,0.45,-0.45,0.19,-0.19
