#: table_doi: 10.17182/hepdata.159952.v1/t20
#: name: Figure 16
#: description: Centrality dependence of $N_{\rm part}\Delta\gamma^{112}$ (red square) and $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (blue circle) in Au+Au collisions at $\sqrt{s_{NN}}$ = 19.6, 17.3, 14.6, and 11.5 GeV. The POI are all charged hadrons, including $p$ and ${\bar p}$. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ over the 20\%--50\% centrality region.
#: data_file: Figure16.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0035,0.0085,-0.0085,0.0003,-0.0003,0.0013,-0.0013
65.0,60.0,70.0,0.0146,0.0036,-0.0036,0.0008,-0.0008,0.004,-0.004
55.0,50.0,60.0,0.0206,0.0022,-0.0022,0.0006,-0.0006,0.0041,-0.0041
45.0,40.0,50.0,0.0269,0.0015,-0.0015,0.0012,-0.0012,0.0037,-0.0037
35.0,30.0,40.0,0.02821,0.00126,-0.00126,0.0001,-0.0001,0.00275,-0.00275
25.0,20.0,30.0,0.0252,0.0013,-0.0013,0.0005,-0.0005,0.0016,-0.0016
15.0,10.0,20.0,0.0192,0.0017,-0.0017,0.0003,-0.0003,0.0007,-0.0007
7.5,5.0,10.0,0.01757,0.00469,-0.00469,5e-05,-5e-05,0.00036,-0.00036
2.5,0.0,5.0,0.0035,0.01478,-0.01478,0.00611,-0.00611,2e-05,-2e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0073,0.016,-0.016,0.0016,-0.0016,0.0027,-0.0027
65.0,60.0,70.0,0.00142,0.00654,-0.00654,0.00019,-0.00019,0.00039,-0.00039
55.0,50.0,60.0,-6.8e-05,0.003693,-0.003693,0.000726,-0.000726,1.4e-05,-1.4e-05
45.0,40.0,50.0,0.0067,0.0025,-0.0025,0.0003,-0.0003,0.0009,-0.0009
35.0,30.0,40.0,0.003,0.0022,-0.0022,0.0006,-0.0006,0.0003,-0.0003
25.0,20.0,30.0,-0.00243,0.00223,-0.00223,0.00219,-0.00219,0.00015,-0.00015
15.0,10.0,20.0,-0.00271,0.00302,-0.00302,0.00075,-0.00075,0.0001,-0.0001
7.5,5.0,10.0,0.00299,0.00822,-0.00822,0,0,6e-05,-6e-05
2.5,0.0,5.0,0.00562,0.02477,-0.02477,0.00328,-0.00328,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0029,0.0066,-0.0066,0.0009,-0.0009,0.0011,-0.0011
65.0,60.0,70.0,0.014,0.003,-0.003,0.003,-0.003,0.004,-0.004
55.0,50.0,60.0,0.0163,0.002,-0.002,0.0016,-0.0016,0.0032,-0.0032
45.0,40.0,50.0,0.0244,0.0014,-0.0014,0.0011,-0.0011,0.0033,-0.0033
35.0,30.0,40.0,0.0267,0.0012,-0.0012,0.0004,-0.0004,0.0026,-0.0026
25.0,20.0,30.0,0.027,0.0012,-0.0012,0.0007,-0.0007,0.0017,-0.0017
15.0,10.0,20.0,0.0206,0.0016,-0.0016,0.0015,-0.0015,0.0008,-0.0008
7.5,5.0,10.0,0.0149,0.0044,-0.0044,0.0008,-0.0008,0.0003,-0.0003
2.5,0.0,5.0,-0.00606,0.01455,-0.01455,0.00216,-0.00216,4e-05,-4e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.02,0.014,-0.014,0.01,-0.01,0.007,-0.007
65.0,60.0,70.0,0.0053,0.0058,-0.0058,0.0017,-0.0017,0.0015,-0.0015
55.0,50.0,60.0,0.00033,0.00333,-0.00333,0.00012,-0.00012,7e-05,-7e-05
45.0,40.0,50.0,0.0032,0.0023,-0.0023,0.0006,-0.0006,0.0004,-0.0004
35.0,30.0,40.0,0.0019,0.00202,-0.00202,0.00015,-0.00015,0.00019,-0.00019
25.0,20.0,30.0,0.00143,0.00207,-0.00207,0.00033,-0.00033,9e-05,-9e-05
15.0,10.0,20.0,-0.000134,0.002877,-0.002877,0.001288,-0.001288,5e-06,-5e-06
7.5,5.0,10.0,0.00657,0.00793,-0.00793,0.00175,-0.00175,0.00013,-0.00013
2.5,0.0,5.0,-0.01752,0.02442,-0.02442,0,0,0.0001,-0.0001

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0017,0.0102,-0.0102,0.0052,-0.0052,0.0006,-0.0006
65.0,60.0,70.0,0.0086,0.00488,-0.00488,7e-05,-7e-05,0.00236,-0.00236
55.0,50.0,60.0,0.0215,0.0028,-0.0028,0.0005,-0.0005,0.0043,-0.0043
45.0,40.0,50.0,0.0244,0.0019,-0.0019,0.0004,-0.0004,0.0034,-0.0034
35.0,30.0,40.0,0.0276,0.0016,-0.0016,0.0006,-0.0006,0.0027,-0.0027
25.0,20.0,30.0,0.0274,0.0015,-0.0015,0.0004,-0.0004,0.0017,-0.0017
15.0,10.0,20.0,0.0233,0.002,-0.002,0.0006,-0.0006,0.0009,-0.0009
7.5,5.0,10.0,0.0171,0.0054,-0.0054,0.0027,-0.0027,0.0004,-0.0004
2.5,0.0,5.0,0.0002059,0.0168842,-0.0168842,0.006145,-0.006145,1.2e-06,-1.2e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
