#: table_doi: 10.17182/hepdata.159952.v1/t2
#: name: Figure 2b
#: description: Resolution of $1^{\rm st}$-order event planes ($\Psi_1^f$ or $\Psi_1^b$) as a function of centrality in Au+Au collisions. The event planes were reconstructed from the ZDC-SMD at $\sqrt{s_{NN}}$ = 200 GeV (a), while the EPD was used at 7.7-27 GeV (b).
#: data_file: Figure2b.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-27
#: keyword phrases: Spectator Plane Resolution
#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.3083,0.00014,-0.00014
65.0,60.0,70.0,0.41214,0.00012,-0.00012
55.0,50.0,60.0,0.5305,0.00011,-0.00011
45.0,40.0,50.0,0.61732,0.0001,-0.0001
35.0,30.0,40.0,0.65529,0.0001,-0.0001
25.0,20.0,30.0,0.63951,0.0001,-0.0001
15.0,10.0,20.0,0.55388,0.00011,-0.00011
7.5,5.0,10.0,0.40928,0.00016,-0.00016
2.5,0.0,5.0,0.23649,0.00017,-0.00017

#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.26731,0.0001,-0.0001
65.0,60.0,70.0,0.37711,9e-05,-9e-05
55.0,50.0,60.0,0.49809,9e-05,-9e-05
45.0,40.0,50.0,0.5841,9e-05,-9e-05
35.0,30.0,40.0,0.62186,9e-05,-9e-05
25.0,20.0,30.0,0.60663,9e-05,-9e-05
15.0,10.0,20.0,0.51698,9e-05,-9e-05
7.5,5.0,10.0,0.37176,0.00013,-0.00013
2.5,0.0,5.0,.,0,0

#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.25334,8e-05,-8e-05
65.0,60.0,70.0,0.35461,7e-05,-7e-05
55.0,50.0,60.0,0.46086,8e-05,-8e-05
45.0,40.0,50.0,0.5364,7e-05,-7e-05
35.0,30.0,40.0,0.57324,7e-05,-7e-05
25.0,20.0,30.0,0.55984,7e-05,-7e-05
15.0,10.0,20.0,0.47581,7e-05,-7e-05
7.5,5.0,10.0,0.33807,0.00011,-0.00011
2.5,0.0,5.0,0.18575,0.00011,-0.00011

#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.2345,6e-05,-6e-05
65.0,60.0,70.0,0.33255,7e-05,-7e-05
55.0,50.0,60.0,0.42191,7e-05,-7e-05
45.0,40.0,50.0,0.48874,6e-05,-6e-05
35.0,30.0,40.0,0.52167,6e-05,-6e-05
25.0,20.0,30.0,0.51077,6e-05,-6e-05
15.0,10.0,20.0,0.43296,6e-05,-6e-05
7.5,5.0,10.0,0.30566,9e-05,-9e-05
2.5,0.0,5.0,0.1651,9e-05,-9e-05

#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.21612,8e-05,-8e-05
65.0,60.0,70.0,0.29917,8e-05,-8e-05
55.0,50.0,60.0,0.3799,8e-05,-8e-05
45.0,40.0,50.0,0.44176,7e-05,-7e-05
35.0,30.0,40.0,0.47615,7e-05,-7e-05
25.0,20.0,30.0,0.47211,7e-05,-7e-05
15.0,10.0,20.0,0.40654,7e-05,-7e-05
7.5,5.0,10.0,0.28992,0.00011,-0.00011
2.5,0.0,5.0,0.15952,0.00011,-0.00011

#: Detector,,,STAR EPD
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$Res_{1}$ [ ],stat +,stat -
75.0,70.0,80.0,0.20039,5e-05,-5e-05
65.0,60.0,70.0,0.27673,5e-05,-5e-05
55.0,50.0,60.0,0.35663,5e-05,-5e-05
45.0,40.0,50.0,0.42025,5e-05,-5e-05
35.0,30.0,40.0,0.45498,5e-05,-5e-05
25.0,20.0,30.0,0.45191,5e-05,-5e-05
15.0,10.0,20.0,0.38795,5e-05,-5e-05
7.5,5.0,10.0,0.2734,7e-05,-7e-05
2.5,0.0,5.0,0.14658,7e-05,-7e-05
