#: table_doi: 10.17182/hepdata.159952.v1/t3
#: name: Figure 3 ae
#: description: The four ESS approaches that extrapolate $\Delta\gamma^{112}$ (a--d) and $\Delta\gamma^{132}$ (e--h) to zero $v_2$ or zero $v_{2,{\rm PPOI}}$ with events classified with either $q^2_2$ or $q^2_{2,{\rm PPOI}}$ in 30\%--40\% Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The distinction between the panels in each row is indicated by the title on the $x$-axis. The linear fits (dashed lines) are used to extract the $y$-intercepts at zero flow. For clarity of presentation, we combined every four data points in (b), (c), (g), and (h), but the linear fits were obtained from the data without rebinning.
#: data_file: Figure3ae.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
$v_{2} (q_{2}^{2})$ [ ],$v_{2} (q_{2}^{2})$ [ ] LOW,$v_{2} (q_{2}^{2})$ [ ] HIGH,$\Delta\gamma^{112}$ [ ],stat +,stat -
0.002541,0.002402,0.00268,0.0001,4e-05,-4e-05
0.008166,0.008021,0.008311,0.00011,4e-05,-4e-05
0.0135525,0.0134,0.013705,0.00015,4e-05,-4e-05
0.018744,0.018584,0.018904,0.00014,4e-05,-4e-05
0.023982,0.023812,0.024152,0.0002,4e-05,-4e-05
0.028815,0.028636,0.028994,0.00015,4e-05,-4e-05
0.033667,0.033476,0.033858,0.00026,5e-05,-5e-05
0.0380845,0.037882,0.038287,8e-05,5e-05,-5e-05
0.042502,0.042287,0.042717,0.00019,5e-05,-5e-05
0.047348,0.047117,0.047579,0.00028,5e-05,-5e-05
0.051765000000000005,0.05152,0.05201,0.00031,5e-05,-5e-05
0.056495000000000004,0.056233,0.056757,0.0002,6e-05,-6e-05
0.059911,0.059632,0.06019,0.00034,6e-05,-6e-05
0.06373200000000001,0.063435,0.064029,0.00034,6e-05,-6e-05
0.0685895,0.068271,0.068908,0.00046,6e-05,-6e-05
0.0725105,0.07217,0.072851,0.00038,7e-05,-7e-05
0.07620550000000001,0.07584,0.076571,0.00039,7e-05,-7e-05
0.0803935,0.080004,0.080783,0.00031,7e-05,-7e-05
0.083925,0.083508,0.084342,0.00036,8e-05,-8e-05
0.088037,0.087593,0.088481,0.00032,8e-05,-8e-05
0.090655,0.090179,0.091131,0.00031,9e-05,-9e-05
0.09481400000000001,0.094307,0.095321,0.00038,9e-05,-9e-05
0.098755,0.098215,0.099295,0.00052,9e-05,-9e-05
0.1018295,0.10125,0.102409,0.00033,0.0001,-0.0001
0.105159,0.104548,0.10577,0.00045,0.0001,-0.0001
0.108925,0.108262,0.109588,0.00052,0.00011,-0.00011
0.1121675,0.111458,0.112877,0.00041,0.00011,-0.00011
0.1164795,0.115716,0.117243,0.00031,0.00012,-0.00012
0.1185605,0.117755,0.119366,0.00023,0.00013,-0.00013
0.121069,0.120221,0.121917,0.00067,0.00013,-0.00013
0.126749,0.125819,0.127679,0.00033,0.00014,-0.00014
0.12698199999999998,0.126028,0.127936,0.00057,0.00014,-0.00014
0.13170500000000002,0.130657,0.132753,0.00051,0.00015,-0.00015
0.1331945,0.132101,0.134288,0.0004,0.00016,-0.00016
0.1355705,0.134419,0.136722,0.00051,0.00017,-0.00017
0.14147300000000002,0.140206,0.14274,0.00054,0.00018,-0.00018

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
$v_{2} (q_{2}^{2})$ [ ],$v_{2} (q_{2}^{2})$ [ ] LOW,$v_{2} (q_{2}^{2})$ [ ] HIGH,$\Delta\gamma^{132}$ [ ],stat +,stat -
0.002541,0.002402,0.00268,-1e-05,4e-05,-4e-05
0.008166,0.008021,0.008311,4e-05,4e-05,-4e-05
0.0135525,0.0134,0.013705,0.00011,4e-05,-4e-05
0.018744,0.018584,0.018904,4e-05,4e-05,-4e-05
0.023982,0.023812,0.024152,9e-05,4e-05,-4e-05
0.028815,0.028636,0.028994,6e-05,4e-05,-4e-05
0.033667,0.033476,0.033858,1e-05,5e-05,-5e-05
0.0380845,0.037882,0.038287,3e-05,5e-05,-5e-05
0.042502,0.042287,0.042717,0.00011,5e-05,-5e-05
0.047348,0.047117,0.047579,5e-05,5e-05,-5e-05
0.051765000000000005,0.05152,0.05201,2e-05,5e-05,-5e-05
0.056495000000000004,0.056233,0.056757,0.00014,6e-05,-6e-05
0.059911,0.059632,0.06019,5e-05,6e-05,-6e-05
0.06373200000000001,0.063435,0.064029,0.00023,6e-05,-6e-05
0.0685895,0.068271,0.068908,0.00012,6e-05,-6e-05
0.0725105,0.07217,0.072851,7e-05,7e-05,-7e-05
0.07620550000000001,0.07584,0.076571,7e-05,7e-05,-7e-05
0.0803935,0.080004,0.080783,0.00015,7e-05,-7e-05
0.083925,0.083508,0.084342,0.00018,8e-05,-8e-05
0.088037,0.087593,0.088481,0.00021,8e-05,-8e-05
