#: table_doi: 10.17182/hepdata.159952.v1/t4
#: name: Figure 3bf
#: description: The four ESS approaches that extrapolate $\Delta\gamma^{112}$ (a--d) and $\Delta\gamma^{132}$ (e--h) to zero $v_2$ or zero $v_{2,{\rm PPOI}}$ with events classified with either $q^2_2$ or $q^2_{2,{\rm PPOI}}$ in 30\%--40\% Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The distinction between the panels in each row is indicated by the title on the $x$-axis. The linear fits (dashed lines) are used to extract the $y$-intercepts at zero flow. For clarity of presentation, we combined every four data points in (b), (c), (g), and (h), but the linear fits were obtained from the data without rebinning.
#: data_file: Figure3bf.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
"$v_{2,PPOI} (q_{2,PPOI}^{2})$ [ ]","$v_{2,PPOI} (q_{2,PPOI}^{2})$ [ ] LOW","$v_{2,PPOI} (q_{2,PPOI}^{2})$ [ ] HIGH",$\Delta\gamma^{112}$ [ ],stat +,stat -
0.002657,0.00264,0.002674,0.00016,3e-05,-3e-05
0.007873999999999999,0.007853,0.007895,9e-05,3e-05,-3e-05
0.012976999999999999,0.01295,0.013004,0.00014,4e-05,-4e-05
0.017875000000000002,0.017841,0.017909,0.00014,4e-05,-4e-05
0.0226615,0.022618,0.022705,0.00014,4e-05,-4e-05
0.0270855,0.027033,0.027138,0.0002,4e-05,-4e-05
0.0312525,0.03119,0.031315,0.00024,4e-05,-4e-05
0.0354545,0.035381,0.035528,0.00019,5e-05,-5e-05
0.039894,0.039807,0.039981,0.00026,5e-05,-5e-05
0.0434485,0.04335,0.043547,0.00029,5e-05,-5e-05
0.0473765,0.047264,0.047489,0.0002,5e-05,-5e-05
0.0509895,0.050862,0.051117,0.00028,6e-05,-6e-05
0.0542715,0.054129,0.054414,0.00022,6e-05,-6e-05
0.0585025,0.058341,0.058664,0.00032,6e-05,-6e-05
0.061440999999999996,0.061263,0.061619,0.00036,7e-05,-7e-05
0.06486900000000001,0.064671,0.065067,0.0004,7e-05,-7e-05
