#: table_doi: 10.17182/hepdata.159952.v1/t5
#: name: Figure 3 cg
#: description: The four ESS approaches that extrapolate $\Delta\gamma^{112}$ (a--d) and $\Delta\gamma^{132}$ (e--h) to zero $v_2$ or zero $v_{2,{\rm PPOI}}$ with events classified with either $q^2_2$ or $q^2_{2,{\rm PPOI}}$ in 30\%--40\% Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The distinction between the panels in each row is indicated by the title on the $x$-axis. The linear fits (dashed lines) are used to extract the $y$-intercepts at zero flow. For clarity of presentation, we combined every four data points in (b), (c), (g), and (h), but the linear fits were obtained from the data without rebinning.
#: data_file: Figure3cg.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
"$v_{2}(q_{2,PPOI}^{2})$ [ ]","$v_{2}(q_{2,PPOI}^{2})$ [ ] LOW","$v_{2}(q_{2,PPOI}^{2})$ [ ] HIGH",$\Delta\gamma^{112}$ [ ],stat +,stat -
0.010618,0.010488,0.010748,0.00016,3e-05,-3e-05
0.016245500000000003,0.016108,0.016383,9e-05,3e-05,-3e-05
0.021360999999999998,0.021215,0.021507,0.00014,4e-05,-4e-05
0.0266585,0.026503,0.026814,0.00014,4e-05,-4e-05
0.0316205,0.031454,0.031787,0.00014,4e-05,-4e-05
0.036310999999999996,0.036133,0.036489,0.0002,4e-05,-4e-05
0.0406515,0.040461,0.040842,0.00024,4e-05,-4e-05
0.045118000000000005,0.044914,0.045322,0.00019,5e-05,-5e-05
0.049726,0.049506,0.049946,0.00026,5e-05,-5e-05
0.0535765,0.053342,0.053811,0.00029,5e-05,-5e-05
0.0576585,0.057406,0.057911,0.0002,5e-05,-5e-05
0.061297000000000004,0.061025,0.061569,0.00028,6e-05,-6e-05
0.065179,0.064887,0.065471,0.00022,6e-05,-6e-05
0.0697745,0.069459,0.07009,0.00032,6e-05,-6e-05
0.0723805,0.072044,0.072717,0.00036,7e-05,-7e-05
0.0763415,0.075979,0.076704,0.0004,7e-05,-7e-05
0.0792195,0.078832,0.079607,0.00036,8e-05,-8e-05
0.0825465,0.082132,0.082961,0.00051,8e-05,-8e-05
0.087205,0.086752,0.087658,0.0005,8e-05,-8e-05
0.090218,0.089732,0.090704,0.00037,9e-05,-9e-05
0.09309100000000001,0.092571,0.093611,0.00038,9e-05,-9e-05
0.0953395,0.094785,0.095894,0.00055,0.0001,-0.0001
0.0986765,0.098079,0.099274,0.00043,0.00011,-0.00011
0.101959,0.10132,0.102598,0.00047,0.00011,-0.00011
0.1048205,0.10413,0.105511,0.00042,0.00012,-0.00012
0.10811950000000001,0.10738,0.108859,0.00055,0.00012,-0.00012
0.1089065,0.108126,0.109687,0.00065,0.00013,-0.00013
0.113071,0.112225,0.113917,0.00039,0.00014,-0.00014
0.11465249999999999,0.113746,0.115559,0.00063,0.00015,-0.00015
0.11598549999999999,0.115021,0.11695,0.00064,0.00016,-0.00016
0.121767,0.120721,0.122813,0.00076,0.00017,-0.00017
0.123851,0.122742,0.12496,0.00049,0.00017,-0.00017

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
"$v_{2}(q_{2,PPOI}^{2})$ [ ]","$v_{2}(q_{2,PPOI}^{2})$ [ ] LOW","$v_{2}(q_{2,PPOI}^{2})$ [ ] HIGH",$\Delta\gamma^{132}$ [ ],stat +,stat -
0.010618,0.010488,0.010748,3e-05,3e-05,-3e-05
0.016245500000000003,0.016108,0.016383,9e-05,3e-05,-3e-05
0.021360999999999998,0.021215,0.021507,-3e-05,4e-05,-4e-05
0.0266585,0.026503,0.026814,6e-05,4e-05,-4e-05
0.0316205,0.031454,0.031787,6e-05,4e-05,-4e-05
0.036310999999999996,0.036133,0.036489,0.00014,4e-05,-4e-05
0.0406515,0.040461,0.040842,8e-05,4e-05,-4e-05
0.045118000000000005,0.044914,0.045322,1e-05,5e-05,-5e-05
0.049726,0.049506,0.049946,7e-05,5e-05,-5e-05
0.0535765,0.053342,0.053811,4e-05,5e-05,-5e-05
0.0576585,0.057406,0.057911,0.00022,5e-05,-5e-05
0.061297000000000004,0.061025,0.061569,7e-05,6e-05,-6e-05
0.065179,0.064887,0.065471,0.00016,6e-05,-6e-05
0.0697745,0.069459,0.07009,0.00013,6e-05,-6e-05
0.0723805,0.072044,0.072717,8e-05,7e-05,-7e-05
0.0763415,0.075979,0.076704,0.00023,7e-05,-7e-05
0.0792195,0.078832,0.079607,0,8e-05,-8e-05
0.0825465,0.082132,0.082961,0.00022,8e-05,-8e-05
0.087205,0.086752,0.087658,0.00036,8e-05,-8e-05
0.090218,0.089732,0.090704,2e-05,9e-05,-9e-05
0.09309100000000001,0.092571,0.093611,0.00011,9e-05,-9e-05
0.0953395,0.094785,0.095894,8e-05,0.0001,-0.0001
0.0986765,0.098079,0.099274,9e-05,0.00011,-0.00011
0.101959,0.10132,0.102598,0.00024,0.00011,-0.00011
0.1048205,0.10413,0.105511,0.00013,0.00012,-0.00012
0.10811950000000001,0.10738,0.108859,0.00019,0.00012,-0.00012
0.1089065,0.108126,0.109687,0.00039,0.00013,-0.00013
0.113071,0.112225,0.113917,0.0004,0.00014,-0.00014
