#: table_doi: 10.17182/hepdata.159952.v1/t6
#: name: Figure 3dh
#: description: The four ESS approaches that extrapolate $\Delta\gamma^{112}$ (a--d) and $\Delta\gamma^{132}$ (e--h) to zero $v_2$ or zero $v_{2,{\rm PPOI}}$ with events classified with either $q^2_2$ or $q^2_{2,{\rm PPOI}}$ in 30\%--40\% Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The distinction between the panels in each row is indicated by the title on the $x$-axis. The linear fits (dashed lines) are used to extract the $y$-intercepts at zero flow. For clarity of presentation, we combined every four data points in (b), (c), (g), and (h), but the linear fits were obtained from the data without rebinning.
#: data_file: Figure3dh.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
"v_{2,PPOI} (q^2_{2}) [ ]","v_{2,PPOI} (q^2_{2}) [ ] LOW","v_{2,PPOI} (q^2_{2}) [ ] HIGH",$\Delta\gamma^{112}$ [ ],stat +,stat -
0.0124855,0.01246,0.012511,0.0001,4e-05,-4e-05
0.015488,0.015458,0.015518,0.00011,4e-05,-4e-05
0.018489,0.018454,0.018524,0.00015,4e-05,-4e-05
0.0215,0.021459,0.021541,0.00014,4e-05,-4e-05
0.024489999999999998,0.024442,0.024538,0.0002,4e-05,-4e-05
0.0273465,0.027292,0.027401,0.00015,4e-05,-4e-05
0.029982,0.02992,0.030044,0.00026,5e-05,-5e-05
0.0324315,0.032362,0.032501,8e-05,5e-05,-5e-05
0.034901,0.034824,0.034978,0.00019,5e-05,-5e-05
0.037610000000000005,0.037523,0.037697,0.00028,5e-05,-5e-05
0.040144,0.040048,0.04024,0.00031,5e-05,-5e-05
0.042818499999999995,0.042712,0.042925,0.0002,6e-05,-6e-05
0.044553999999999996,0.044438,0.04467,0.00034,6e-05,-6e-05
0.047009499999999996,0.046882,0.047137,0.00034,6e-05,-6e-05
0.049543000000000004,0.049403,0.049683,0.00046,6e-05,-6e-05
0.051709,0.051556,0.051862,0.00038,7e-05,-7e-05
0.053809499999999996,0.053642,0.053977,0.00039,7e-05,-7e-05
0.056424,0.056241,0.056607,0.00031,7e-05,-7e-05
0.0581675,0.05797,0.058365,0.00036,8e-05,-8e-05
0.0607635,0.060549,0.060978,0.00032,8e-05,-8e-05
0.0617665,0.061536,0.061997,0.00031,9e-05,-9e-05
0.0647295,0.064478,0.064981,0.00038,9e-05,-9e-05
0.0664425,0.066174,0.066711,0.00052,9e-05,-9e-05
0.068239,0.067948,0.06853,0.00033,0.0001,-0.0001
0.07021150000000001,0.069902,0.070521,0.00045,0.0001,-0.0001
0.072096,0.071758,0.072434,0.00052,0.00011,-0.00011
0.0739995,0.073635,0.074364,0.00041,0.00011,-0.00011
0.07667399999999999,0.076277,0.077071,0.00031,0.00012,-0.00012
0.07706299999999999,0.076646,0.07748,0.00023,0.00013,-0.00013
0.079148,0.078704,0.079592,0.00067,0.00013,-0.00013
0.082365,0.081873,0.082857,0.00033,0.00014,-0.00014
0.08231,0.081807,0.082813,0.00057,0.00014,-0.00014
0.085374,0.084814,0.085934,0.00051,0.00015,-0.00015
0.085997,0.085413,0.086581,0.0004,0.00016,-0.00016
0.086747,0.086135,0.087359,0.00051,0.00017,-0.00017
0.091024,0.090338,0.09171,0.00054,0.00018,-0.00018

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$ [GeV],,,19.6
"v_{2,PPOI} (q^2_{2}) [ ]","v_{2,PPOI} (q^2_{2}) [ ] LOW","v_{2,PPOI} (q^2_{2}) [ ] HIGH",$\Delta\gamma^{132}$ [ ],stat +,stat -
0.0124855,0.01246,0.012511,-1e-05,4e-05,-4e-05
0.015488,0.015458,0.015518,4e-05,4e-05,-4e-05
0.018489,0.018454,0.018524,0.00011,4e-05,-4e-05
0.0215,0.021459,0.021541,4e-05,4e-05,-4e-05
0.024489999999999998,0.024442,0.024538,9e-05,4e-05,-4e-05
0.0273465,0.027292,0.027401,6e-05,4e-05,-4e-05
0.029982,0.02992,0.030044,1e-05,5e-05,-5e-05
0.0324315,0.032362,0.032501,3e-05,5e-05,-5e-05
0.034901,0.034824,0.034978,0.00011,5e-05,-5e-05
0.037610000000000005,0.037523,0.037697,5e-05,5e-05,-5e-05
0.040144,0.040048,0.04024,2e-05,5e-05,-5e-05
0.042818499999999995,0.042712,0.042925,0.00014,6e-05,-6e-05
0.044553999999999996,0.044438,0.04467,5e-05,6e-05,-6e-05
0.047009499999999996,0.046882,0.047137,0.00023,6e-05,-6e-05
0.049543000000000004,0.049403,0.049683,0.00012,6e-05,-6e-05
0.051709,0.051556,0.051862,7e-05,7e-05,-7e-05
0.053809499999999996,0.053642,0.053977,7e-05,7e-05,-7e-05
0.056424,0.056241,0.056607,0.00015,7e-05,-7e-05
0.0581675,0.05797,0.058365,0.00018,8e-05,-8e-05
0.0607635,0.060549,0.060978,0.00021,8e-05,-8e-05
0.0617665,0.061536,0.061997,0.00019,9e-05,-9e-05
0.0647295,0.064478,0.064981,6e-05,9e-05,-9e-05
0.0664425,0.066174,0.066711,0.0001,9e-05,-9e-05
0.068239,0.067948,0.06853,8e-05,0.0001,-0.0001
0.07021150000000001,0.069902,0.070521,8e-05,0.0001,-0.0001
0.072096,0.071758,0.072434,6e-05,0.00011,-0.00011
0.0739995,0.073635,0.074364,0.00019,0.00011,-0.00011
0.07667399999999999,0.076277,0.077071,0.00031,0.00012,-0.00012
0.07706299999999999,0.076646,0.07748,0.00023,0.00013,-0.00013
0.079148,0.078704,0.079592,0.00011,0.00013,-0.00013
0.082365,0.081873,0.082857,0.00027,0.00014,-0.00014
0.08231,0.081807,0.082813,0.00012,0.00014,-0.00014
0.085374,0.084814,0.085934,-3e-05,0.00015,-0.00015
0.085997,0.085413,0.086581,3e-05,0.00016,-0.00016
0.086747,0.086135,0.087359,-2e-05,0.00017,-0.00017
0.091024,0.090338,0.09171,4e-05,0.00018,-0.00018

