#: table_doi: 10.17182/hepdata.159952.v1/t7
#: name: Figure 4a
#: description: Centrality dependence of (a) $N_{\rm part}\Delta\gamma^{112}$ and (b) $N_{\rm part}\Delta\gamma^{132}$ in comparison with the corresponding ESS results using four analysis recipes in Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The vertical bars denote the statistical uncertainties, the shaded boxes represent the systematic uncertainties, and brackets are uncertainties associated with $N_{\rm part}$. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (or $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$) over the 20\%--50\% centrality region.
#: data_file: Figure4a.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.018,0.008,-0.008,0.002,-0.002,0.007,-0.007
65.0,60.0,70.0,0.012,0.004,-0.004,0.002,-0.002,0.003,-0.003
55.0,50.0,60.0,0.0216,0.0021,-0.0021,0.0007,-0.0007,0.0043,-0.0043
45.0,40.0,50.0,0.0261,0.0014,-0.0014,0.0003,-0.0003,0.0036,-0.0036
35.0,30.0,40.0,0.0272,0.0011,-0.0011,0.0003,-0.0003,0.0027,-0.0027
25.0,20.0,30.0,0.0267,0.0011,-0.0011,0.0006,-0.0006,0.0017,-0.0017
15.0,10.0,20.0,0.0215,0.0014,-0.0014,0.0009,-0.0009,0.0008,-0.0008
7.5,5.0,10.0,0.0116,0.0039,-0.0039,0.0008,-0.0008,0.0002,-0.0002
2.5,0.0,5.0,0.0153,0.01299,-0.01299,0.00167,-0.00167,9e-05,-9e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,"$N_{part}\Delta\gamma^{112}_{ESS}(q_{2}^{2},v_{2})$ [ ]",stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.038,0.012,-0.012,0.011,-0.011,0.014,-0.014
65.0,60.0,70.0,0.007,0.006,-0.006,0.009,-0.009,0.002,-0.002
55.0,50.0,60.0,0.0144,0.003,-0.003,0.0013,-0.0013,0.0029,-0.0029
45.0,40.0,50.0,0.0108,0.0021,-0.0021,0,0,0.0015,-0.0015
35.0,30.0,40.0,0.0091,0.0017,-0.0017,0.0004,-0.0004,0.0009,-0.0009
25.0,20.0,30.0,0.0072,0.0017,-0.0017,0.0012,-0.0012,0.0004,-0.0004
15.0,10.0,20.0,0.00404,0.00223,-0.00223,0.00031,-0.00031,0.00015,-0.00015
7.5,5.0,10.0,0.00109,0.00622,-0.00622,0.00326,-0.00326,2e-05,-2e-05
2.5,0.0,5.0,-0.01179,0.02142,-0.02142,0.01212,-0.01212,7e-05,-7e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,"$N_{part}\Delta\gamma^{112}_{ESS}(q_{2,PPOI}^{2},v_{2,PPOI})$ [ ]",stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0171,0.0118,-0.0118,0.0012,-0.0012,0.0063,-0.0063
65.0,60.0,70.0,-0.00015,0.00579,-0.00579,0.009,-0.009,4e-05,-4e-05
55.0,50.0,60.0,0.0102,0.0031,-0.0031,0.0005,-0.0005,0.002,-0.002
45.0,40.0,50.0,0.00933,0.00214,-0.00214,9e-05,-9e-05,0.00128,-0.00128
35.0,30.0,40.0,0.0077,0.0017,-0.0017,0.0004,-0.0004,0.0008,-0.0008
25.0,20.0,30.0,0.0055,0.0017,-0.0017,0.0003,-0.0003,0.0003,-0.0003
15.0,10.0,20.0,0.00379,0.00228,-0.00228,0.00075,-0.00075,0.00014,-0.00014
7.5,5.0,10.0,-0.00455,0.00629,-0.00629,0.00477,-0.00477,9e-05,-9e-05
2.5,0.0,5.0,0.0069,0.01928,-0.01928,0.02524,-0.02524,4e-05,-4e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,"$N_{part}\Delta\gamma^{112}_{ESS}(q_{2}^{2},v_{2,PPOI})$ [ ]",stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.046,0.015,-0.015,0.01,-0.01,0.017,-0.017
65.0,60.0,70.0,0.0054,0.0074,-0.0074,0.0129,-0.0129,0.0015,-0.0015
