#: table_doi: 10.17182/hepdata.159952.v1/t8
#: name: Figure 4b
#: description: Centrality dependence of (a) $N_{\rm part}\Delta\gamma^{112}$ and (b) $N_{\rm part}\Delta\gamma^{132}$ in comparison with the corresponding ESS results using four analysis recipes in Au+Au collisions at $\sqrt{s_{NN}} =19.6$ GeV. The vertical bars denote the statistical uncertainties, the shaded boxes represent the systematic uncertainties, and brackets are uncertainties associated with $N_{\rm part}$. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (or $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$) over the 20\%--50\% centrality region.
#: data_file: Figure4b.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 19.6
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -,gammaNpart +,gammaNpart -
75.0,70.0,80.0,0.002,0.0079,-0.0079,0.0052,-0.0052,0.0008,-0.0008,0,0
65.0,60.0,70.0,0.0043,0.00386,-0.00386,0.00018,-0.00018,0,0,0.00118,-0.00118
55.0,50.0,60.0,0.0013,0.0021,-0.0021,0.0002,-0.0002,0.0003,-0.0003,0,0
45.0,40.0,50.0,0.005,0.0014,-0.0014,0.0005,-0.0005,0.0007,-0.0007,0,0
35.0,30.0,40.0,0.0093,0.0011,-0.0011,0.0003,-0.0003,0.0009,-0.0009,0,0
25.0,20.0,30.0,0.0091,0.0011,-0.0011,0.0007,-0.0007,0.0006,-0.0006,0,0
15.0,10.0,20.0,0.0089,0.0014,-0.0014,0.0003,-0.0003,0.0003,-0.0003,0,0
7.5,5.0,10.0,0.00338,0.00395,-0.00395,0.00427,-0.00427,7e-05,-7e-05,0,0
2.5,0.0,5.0,-0.00946,0.01299,-0.01299,0.0006,-0.0006,6e-05,-6e-05,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,"$N_{part}\Delta\gamma^{132}_{ESS}(q_{2}^{2},v_{2}) $ [ ]",stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.011,0.012,-0.012,0.005,-0.005,0.004,-0.004
65.0,60.0,70.0,0.0015,0.0056,-0.0056,0.0006,-0.0006,0.0004,-0.0004
55.0,50.0,60.0,-0.0017,0.003,-0.003,0.0004,-0.0004,0.0003,-0.0003
45.0,40.0,50.0,0.00047,0.00212,-0.00212,0.00014,-0.00014,6e-05,-6e-05
35.0,30.0,40.0,0.0031,0.0017,-0.0017,0.0006,-0.0006,0.0003,-0.0003
25.0,20.0,30.0,0.00102,0.0017,-0.0017,0.00022,-0.00022,6e-05,-6e-05
15.0,10.0,20.0,0.00226,0.00223,-0.00223,0.0013,-0.0013,9e-05,-9e-05
7.5,5.0,10.0,-0.00631,0.00622,-0.00622,0.00453,-0.00453,0.00013,-0.00013
2.5,0.0,5.0,-0.0252,0.02154,-0.02154,0.01626,-0.01626,0.00015,-0.00015

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,"$N_{part}\Delta\gamma^{132}_{ESS}(q_{2,PPOI}^{2},v_{2,PPOI})$ [ ]",stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0041,0.0119,-0.0119,0.0018,-0.0018,0.0015,-0.0015
65.0,60.0,70.0,0.0022,0.0058,-0.0058,0.0059,-0.0059,0.0006,-0.0006
55.0,50.0,60.0,-0.0043,0.0031,-0.0031,0.0004,-0.0004,0.0009,-0.0009
45.0,40.0,50.0,0.00034,0.00214,-0.00214,0.00109,-0.00109,5e-05,-5e-05
35.0,30.0,40.0,0.00255,0.00174,-0.00174,0.00016,-0.00016,0.00025,-0.00025
25.0,20.0,30.0,-0.000214,0.001736,-0.001736,0.000332,-0.000332,1.3e-05,-1.3e-05
15.0,10.0,20.0,0.00113,0.00227,-0.00227,0.00124,-0.00124,4e-05,-4e-05
7.5,5.0,10.0,-0.00606,0.0063,-0.0063,0.00104,-0.00104,0.00012,-0.00012
2.5,0.0,5.0,-0.01622,0.01936,-0.01936,0.00595,-0.00595,0.0001,-0.0001

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
