#: table_doi: 10.17182/hepdata.159952.v1/t9
#: name: Figure 5
#: description: $v_2$ of charged mesons as a function of centrality in Au+Au collisions measured with respect to the event plane from the ZDC-SMD at $\sqrt{s_{NN}}$ = 200 GeV (a) and the EPD at 7.7-27 GeV (b).
#: data_file: Figure5.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0226,0.001,-0.001,0.0017,-0.0017
65.0,60.0,70.0,0.02973,0.00035,-0.00035,0.00018,-0.00018
55.0,50.0,60.0,0.03643,0.00016,-0.00016,0.00023,-0.00023
45.0,40.0,50.0,0.04122,9e-05,-9e-05,0.00012,-0.00012
35.0,30.0,40.0,0.0425,6e-05,-6e-05,0.0001,-0.0001
25.0,20.0,30.0,0.03952,5e-05,-5e-05,9e-05,-9e-05
15.0,10.0,20.0,0.03151,6e-05,-6e-05,0.00011,-0.00011
7.5,5.0,10.0,0.02169,0.00013,-0.00013,0.00014,-0.00014
2.5,0.0,5.0,0.01241,0.00035,-0.00035,8e-05,-8e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0225,0.0009,-0.0009,0.0003,-0.0003
65.0,60.0,70.0,0.0325,0.0003,-0.0003,0.0003,-0.0003
55.0,50.0,60.0,0.03927,0.00013,-0.00013,0.00014,-0.00014
45.0,40.0,50.0,0.04406,7e-05,-7e-05,0.00016,-0.00016
35.0,30.0,40.0,0.04519,5e-05,-5e-05,9e-05,-9e-05
25.0,20.0,30.0,0.04155,4e-05,-4e-05,0.0001,-0.0001
15.0,10.0,20.0,0.03294,5e-05,-5e-05,0.0001,-0.0001
7.5,5.0,10.0,0.02254,0.00012,-0.00012,0.00016,-0.00016
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0271,0.0008,-0.0008,0.0005,-0.0005
65.0,60.0,70.0,0.0345,0.0002,-0.0002,0.0002,-0.0002
55.0,50.0,60.0,0.04104,0.00012,-0.00012,0.00017,-0.00017
45.0,40.0,50.0,0.04589,6e-05,-6e-05,0.00018,-0.00018
35.0,30.0,40.0,0.0465,5e-05,-5e-05,0.0001,-0.0001
25.0,20.0,30.0,0.04268,4e-05,-4e-05,9e-05,-9e-05
15.0,10.0,20.0,0.03355,5e-05,-5e-05,9e-05,-9e-05
7.5,5.0,10.0,0.02331,0.00011,-0.00011,9e-05,-9e-05
2.5,0.0,5.0,0.01382,0.00033,-0.00033,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.02662,0.00063,-0.00063,7e-05,-7e-05
65.0,60.0,70.0,0.03371,0.00024,-0.00024,0.00015,-0.00015
55.0,50.0,60.0,0.0418,0.00011,-0.00011,0.00012,-0.00012
45.0,40.0,50.0,0.0465,6e-05,-6e-05,0.00011,-0.00011
35.0,30.0,40.0,0.04731,4e-05,-4e-05,9e-05,-9e-05
25.0,20.0,30.0,0.04327,4e-05,-4e-05,0.00011,-0.00011
15.0,10.0,20.0,0.03399,4e-05,-4e-05,0.00013,-0.00013
7.5,5.0,10.0,0.02366,0.00011,-0.00011,0.00014,-0.00014
2.5,0.0,5.0,0.01485,0.00033,-0.00033,0.00013,-0.00013

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.025,0.001,-0.001,0.0006,-0.0006
65.0,60.0,70.0,0.0341,0.0004,-0.0004,0.0005,-0.0005
55.0,50.0,60.0,0.04228,0.00016,-0.00016,0.00019,-0.00019
45.0,40.0,50.0,0.0474,9e-05,-9e-05,0.00017,-0.00017
35.0,30.0,40.0,0.04825,6e-05,-6e-05,0.00017,-0.00017
25.0,20.0,30.0,0.04436,5e-05,-5e-05,0.00011,-0.00011
15.0,10.0,20.0,0.0349,6e-05,-6e-05,0.00011,-0.00011
7.5,5.0,10.0,0.02418,0.00014,-0.00014,0.00012,-0.00012
2.5,0.0,5.0,0.0145,0.00041,-0.00041,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.024,0.0006,-0.0006,0.0004,-0.0004
65.0,60.0,70.0,0.0327,0.0002,-0.0002,0.0003,-0.0003
55.0,50.0,60.0,0.04193,0.0001,-0.0001,0.00034,-0.00034
45.0,40.0,50.0,0.04746,6e-05,-6e-05,0.0004,-0.0004
35.0,30.0,40.0,0.04879,4e-05,-4e-05,0.00041,-0.00041
25.0,20.0,30.0,0.04493,3e-05,-3e-05,0.0004,-0.0004
15.0,10.0,20.0,0.03564,4e-05,-4e-05,0.00034,-0.00034
7.5,5.0,10.0,0.02466,9e-05,-9e-05,0.00026,-0.00026
2.5,0.0,5.0,0.015,0.0003,-0.0003,0.0004,-0.0004

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0224,0.0011,-0.0011,0.0006,-0.0006
65.0,60.0,70.0,0.0346,0.0004,-0.0004,0.0002,-0.0002
55.0,50.0,60.0,0.0434,0.00016,-0.00016,0.00023,-0.00023
45.0,40.0,50.0,0.04866,8e-05,-8e-05,0.00017,-0.00017
35.0,30.0,40.0,0.0497,5e-05,-5e-05,0.00014,-0.00014
25.0,20.0,30.0,0.04552,4e-05,-4e-05,0.00012,-0.00012
15.0,10.0,20.0,0.03565,5e-05,-5e-05,0.00015,-0.00015
7.5,5.0,10.0,0.0249,0.00012,-0.00012,0.00021,-0.00021
2.5,0.0,5.0,0.0151,0.0003,-0.0003,0.0007,-0.0007

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$v_{2}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0236,0.0002,-0.0002,0.0004,-0.0004
65.0,60.0,70.0,0.03597,0.00011,-0.00011,0.00043,-0.00043
55.0,50.0,60.0,0.04761,6e-05,-6e-05,0.00047,-0.00047
45.0,40.0,50.0,0.0542,4e-05,-4e-05,0.00044,-0.00044
35.0,30.0,40.0,0.05392,3e-05,-3e-05,0.00037,-0.00037
25.0,20.0,30.0,0.04685,3e-05,-3e-05,0.00032,-0.00032
15.0,10.0,20.0,0.03447,3e-05,-3e-05,0.00029,-0.00029
7.5,5.0,10.0,0.02377,7e-05,-7e-05,0.00046,-0.00046
2.5,0.0,5.0,0.01445,0.00017,-0.00017,0.00075,-0.00075

