#: table_doi: 10.17182/hepdata.159952.v1/t10
#: name: Figure 6
#: description: Centrality dependence of $\gamma^{112}_{\rm OS}$ (red circles) and $\gamma^{112}_{\rm SS}$ (blue squares) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV.The solid error bars and the shaded boxes represent the statistical and systematic uncertainties, respectively. 
#: data_file: Figure6.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00138,0.00085,-0.00085,0.00016,-0.00016
65.0,60.0,70.0,0.00037,0.0002,-0.0002,0.00021,-0.00021
55.0,50.0,60.0,4.5e-05,6.5e-05,-6.5e-05,1.4e-05,-1.4e-05
45.0,40.0,50.0,-0.000104,2.8e-05,-2.8e-05,4e-06,-4e-06
35.0,30.0,40.0,-7.4e-05,1.5e-05,-1.5e-05,1.4e-05,-1.4e-05
25.0,20.0,30.0,-5.2e-05,1.1e-05,-1.1e-05,7e-06,-7e-06
15.0,10.0,20.0,-5.18e-05,9.8e-06,-9.8e-06,1.2e-06,-1.2e-06
7.5,5.0,10.0,-5.9e-05,1.9e-05,-1.9e-05,5e-06,-5e-06
2.5,0.0,5.0,-2.5e-05,4.6e-05,-4.6e-05,4e-06,-4e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0,0.0008,-0.0008,0.0004,-0.0004
65.0,60.0,70.0,0.0006,0.00019,-0.00019,7e-05,-7e-05
55.0,50.0,60.0,0.000411,6.5e-05,-6.5e-05,1.2e-05,-1.2e-05
45.0,40.0,50.0,0.0002858,2.74e-05,-2.74e-05,1.4e-06,-1.4e-06
35.0,30.0,40.0,0.000189,1.5e-05,-1.5e-05,6e-06,-6e-06
25.0,20.0,30.0,8.72e-05,1.05e-05,-1.05e-05,1.2e-06,-1.2e-06
15.0,10.0,20.0,4.5e-05,1e-05,-1e-05,3e-06,-3e-06
7.5,5.0,10.0,2.2e-05,1.9e-05,-1.9e-05,4e-06,-4e-06
2.5,0.0,5.0,0,5e-05,-5e-05,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0008,0.0007,-0.0007,0.0004,-0.0004
65.0,60.0,70.0,-0.00012,0.00015,-0.00015,5e-05,-5e-05
55.0,50.0,60.0,-0.000152,4.9e-05,-4.9e-05,9e-06,-9e-06
45.0,40.0,50.0,-0.000135,2.1e-05,-2.1e-05,8e-06,-8e-06
35.0,30.0,40.0,-0.000123,1.2e-05,-1.2e-05,4e-06,-4e-06
25.0,20.0,30.0,-9.3e-05,8e-06,-8e-06,6e-06,-6e-06
15.0,10.0,20.0,-5e-05,8e-06,-8e-06,9e-06,-9e-06
7.5,5.0,10.0,-1.6e-05,1.6e-05,-1.6e-05,5e-06,-5e-06
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.00069,0.00067,-0.00067,0.00019,-0.00019
65.0,60.0,70.0,0.00056,0.00015,-0.00015,0.00014,-0.00014
55.0,50.0,60.0,0.000236,4.8e-05,-4.8e-05,1.9e-05,-1.9e-05
45.0,40.0,50.0,0.000204,2.1e-05,-2.1e-05,6e-06,-6e-06
35.0,30.0,40.0,0.000141,1.2e-05,-1.2e-05,1e-05,-1e-05
25.0,20.0,30.0,8.4e-05,8e-06,-8e-06,9e-06,-9e-06
15.0,10.0,20.0,3.7e-05,8e-06,-8e-06,7e-06,-7e-06
7.5,5.0,10.0,1.3e-05,1.6e-05,-1.6e-05,4e-06,-4e-06
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
