#: table_doi: 10.17182/hepdata.159952.v1/t11
#: name: Figure 7
#: description: Same as Fig.6, but for $\gamma^{132}_{\rm OS}$ and $\gamma^{132}_{\rm SS}$. For comparison, we also add $v_2\delta_{\rm OS}$ and $v_2\delta_{\rm SS}$ (shaded bands). 
#: data_file: Figure7.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0005,0.0009,-0.0009,0.0004,-0.0004
65.0,60.0,70.0,0.00024,0.0002,-0.0002,5e-05,-5e-05
55.0,50.0,60.0,-0.0001,7e-05,-7e-05,0.0001,-0.0001
45.0,40.0,50.0,-0.000115,2.8e-05,-2.8e-05,8e-06,-8e-06
35.0,30.0,40.0,-0.000124,1.5e-05,-1.5e-05,8e-06,-8e-06
25.0,20.0,30.0,-9.9e-05,1.1e-05,-1.1e-05,3e-06,-3e-06
15.0,10.0,20.0,-5.3e-05,1e-05,-1e-05,3e-06,-3e-06
7.5,5.0,10.0,-5.4e-05,1.9e-05,-1.9e-05,8e-06,-8e-06
2.5,0.0,5.0,1e-05,5e-05,-5e-05,4e-05,-4e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0008,0.0008,-0.0008,0.0006,-0.0006
65.0,60.0,70.0,-0.00019,0.00019,-0.00019,3e-05,-3e-05
55.0,50.0,60.0,-0.00021,6.5e-05,-6.5e-05,1e-05,-1e-05
45.0,40.0,50.0,-5.6e-05,2.7e-05,-2.7e-05,4e-06,-4e-06
35.0,30.0,40.0,-4e-06,1.5e-05,-1.5e-05,3e-06,-3e-06
25.0,20.0,30.0,-7e-06,1.1e-05,-1.1e-05,0,0
15.0,10.0,20.0,-7e-06,9.8e-06,-9.8e-06,1.9e-06,-1.9e-06
7.5,5.0,10.0,-1.9e-05,1.9e-05,-1.9e-05,4e-06,-4e-06
2.5,0.0,5.0,-5e-05,5e-05,-5e-05,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.0005,0.0007,-0.0007,0,0
65.0,60.0,70.0,-0.0003,0.00015,-0.00015,8e-05,-8e-05
55.0,50.0,60.0,-0.00025,5e-05,-5e-05,4e-05,-4e-05
45.0,40.0,50.0,-0.000147,2.1e-05,-2.1e-05,1.2e-05,-1.2e-05
35.0,30.0,40.0,-0.000118,1.2e-05,-1.2e-05,7e-06,-7e-06
25.0,20.0,30.0,-0.000106,8e-06,-8e-06,4e-06,-4e-06
15.0,10.0,20.0,-6.7e-05,8e-06,-8e-06,4e-06,-4e-06
7.5,5.0,10.0,-5.1e-05,1.6e-05,-1.6e-05,8e-06,-8e-06
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.002,0.0007,-0.0007,0.0003,-0.0003
65.0,60.0,70.0,-6e-05,0.00015,-0.00015,3e-05,-3e-05
55.0,50.0,60.0,-8e-05,5e-05,-5e-05,8e-05,-8e-05
45.0,40.0,50.0,-7.2e-05,2.1e-05,-2.1e-05,2e-06,-2e-06
35.0,30.0,40.0,-3.77e-05,1.17e-05,-1.17e-05,6e-07,-6e-07
25.0,20.0,30.0,-3.26e-05,8.1e-06,-8.1e-06,7e-07,-7e-07
15.0,10.0,20.0,-1.9e-06,7.6e-06,-7.6e-06,1.9e-06,-1.9e-06
7.5,5.0,10.0,-3.7e-05,1.6e-05,-1.6e-05,4e-06,-4e-06
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00028,0.00043,-0.00043,9e-05,-9e-05
65.0,60.0,70.0,-0.000209,0.000102,-0.000102,1.9e-05,-1.9e-05
55.0,50.0,60.0,-0.000145,3.7e-05,-3.7e-05,7e-06,-7e-06
45.0,40.0,50.0,-0.0001187,1.6e-05,-1.6e-05,6e-07,-6e-07
35.0,30.0,40.0,-0.000106,9e-06,-9e-06,4e-06,-4e-06
25.0,20.0,30.0,-9.4e-05,6e-06,-6e-06,6e-06,-6e-06
15.0,10.0,20.0,-7e-05,6e-06,-6e-06,2e-06,-2e-06
7.5,5.0,10.0,-4.38e-05,1.31e-05,-1.31e-05,1.4e-06,-1.4e-06
2.5,0.0,5.0,-5e-05,4e-05,-4e-05,2e-05,-2e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0004,0.0004,-0.0004,0.0003,-0.0003
65.0,60.0,70.0,-0.00021,0.0001,-0.0001,3e-05,-3e-05
55.0,50.0,60.0,-7.4e-05,3.7e-05,-3.7e-05,1.4e-05,-1.4e-05
45.0,40.0,50.0,-4.1e-05,1.59e-05,-1.59e-05,1.8e-06,-1.8e-06
35.0,30.0,40.0,-1.41e-05,9e-06,-9e-06,9e-07,-9e-07
25.0,20.0,30.0,-1.1e-05,6e-06,-6e-06,0,0
15.0,10.0,20.0,-3e-06,6e-06,-6e-06,0,0
7.5,5.0,10.0,-5e-06,1.3e-05,-1.3e-05,3e-06,-3e-06
