#: table_doi: 10.17182/hepdata.159952.v1/t12
#: name: Figure 8
#: description: Same as Fig.6, but for $\delta_{\rm OS}$ (red circles) and $\delta_{\rm SS}$ (blue squares) 
#: data_file: Figure8.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.01041,8e-05,-8e-05,0.00032,-0.00032
65.0,60.0,70.0,-0.00662,3e-05,-3e-05,0.00021,-0.00021
55.0,50.0,60.0,-0.004392,1.8e-05,-1.8e-05,0.000146,-0.000146
45.0,40.0,50.0,-0.003142,1.1e-05,-1.1e-05,0.000103,-0.000103
35.0,30.0,40.0,-0.002341,7e-06,-7e-06,8e-05,-8e-05
25.0,20.0,30.0,-0.001817,4e-06,-4e-06,6.3e-05,-6.3e-05
15.0,10.0,20.0,-0.001424,3e-06,-3e-06,5.4e-05,-5.4e-05
7.5,5.0,10.0,-0.001201,3e-06,-3e-06,4.9e-05,-4.9e-05
2.5,0.0,5.0,-0.001058,3e-06,-3e-06,4.4e-05,-4.4e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00976,8e-05,-8e-05,0.00016,-0.00016
65.0,60.0,70.0,-0.00405,3e-05,-3e-05,9e-05,-9e-05
55.0,50.0,60.0,-0.001377,1.8e-05,-1.8e-05,4.9e-05,-4.9e-05
45.0,40.0,50.0,-0.000347,1e-05,-1e-05,2.2e-05,-2.2e-05
35.0,30.0,40.0,4.3e-05,7e-06,-7e-06,1.1e-05,-1.1e-05
25.0,20.0,30.0,0.000167,4e-06,-4e-06,6e-06,-6e-06
15.0,10.0,20.0,0.000202,3e-06,-3e-06,4e-06,-4e-06
7.5,5.0,10.0,0.000198,3e-06,-3e-06,5e-06,-5e-06
2.5,0.0,5.0,0.000182,3e-06,-3e-06,6e-06,-6e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.01029,5e-05,-5e-05,0.00026,-0.00026
65.0,60.0,70.0,-0.00628,2e-05,-2e-05,0.00017,-0.00017
55.0,50.0,60.0,-0.00412,1.2e-05,-1.2e-05,0.000108,-0.000108
45.0,40.0,50.0,-0.002884,7e-06,-7e-06,7.5e-05,-7.5e-05
35.0,30.0,40.0,-0.002146,5e-06,-5e-06,5.8e-05,-5.8e-05
25.0,20.0,30.0,-0.001639,3e-06,-3e-06,4.5e-05,-4.5e-05
15.0,10.0,20.0,-0.001268,2e-06,-2e-06,3.7e-05,-3.7e-05
7.5,5.0,10.0,-0.001057,2e-06,-2e-06,3.2e-05,-3.2e-05
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.01041,5e-05,-5e-05,0.00011,-0.00011
65.0,60.0,70.0,-0.00392,2e-05,-2e-05,6e-05,-6e-05
55.0,50.0,60.0,-0.001219,1.2e-05,-1.2e-05,2.5e-05,-2.5e-05
45.0,40.0,50.0,-0.00028,7e-06,-7e-06,1.1e-05,-1.1e-05
35.0,30.0,40.0,5.7e-05,5e-06,-5e-06,1.1e-05,-1.1e-05
25.0,20.0,30.0,0.000185,3e-06,-3e-06,1.3e-05,-1.3e-05
15.0,10.0,20.0,0.000209,2e-06,-2e-06,1.4e-05,-1.4e-05
7.5,5.0,10.0,0.000207,2e-06,-2e-06,1.4e-05,-1.4e-05
2.5,0.0,5.0,.,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00822,3e-05,-3e-05,0.00044,-0.00044
65.0,60.0,70.0,-0.00519,1.3e-05,-1.3e-05,0.000195,-0.000195
55.0,50.0,60.0,-0.003508,8e-06,-8e-06,0.000114,-0.000114
45.0,40.0,50.0,-0.002512,5e-06,-5e-06,8.4e-05,-8.4e-05
35.0,30.0,40.0,-0.001865,3e-06,-3e-06,6.3e-05,-6.3e-05
25.0,20.0,30.0,-0.0014229,2e-06,-2e-06,5.09e-05,-5.09e-05
15.0,10.0,20.0,-0.0011027,1.4e-06,-1.4e-06,4.23e-05,-4.23e-05
7.5,5.0,10.0,-0.0009229,1.5e-06,-1.5e-06,3.75e-05,-3.75e-05
2.5,0.0,5.0,-0.0008129,1.2e-06,-1.2e-06,3.45e-05,-3.45e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00773,3e-05,-3e-05,0.00057,-0.00057
65.0,60.0,70.0,-0.002848,1.3e-05,-1.3e-05,0.000178,-0.000178
55.0,50.0,60.0,-0.000852,8e-06,-8e-06,5.1e-05,-5.1e-05
45.0,40.0,50.0,-0.00012,5e-06,-5e-06,1.6e-05,-1.6e-05
35.0,30.0,40.0,0.000143,3e-06,-3e-06,4e-06,-4e-06
25.0,20.0,30.0,0.0002192,2e-06,-2e-06,9e-07,-9e-07
15.0,10.0,20.0,0.0002266,1.4e-06,-1.4e-06,2.6e-06,-2.6e-06
7.5,5.0,10.0,0.0002107,1.5e-06,-1.5e-06,3.1e-06,-3.1e-06
2.5,0.0,5.0,0.0001908,1.2e-06,-1.2e-06,3.8e-06,-3.8e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00695,2e-05,-2e-05,0.00021,-0.00021
65.0,60.0,70.0,-0.004341,1.1e-05,-1.1e-05,0.000138,-0.000138
55.0,50.0,60.0,-0.002972,6e-06,-6e-06,9.6e-05,-9.6e-05
45.0,40.0,50.0,-0.002093,4e-06,-4e-06,7.4e-05,-7.4e-05
35.0,30.0,40.0,-0.001564,2e-06,-2e-06,5.9e-05,-5.9e-05
25.0,20.0,30.0,-0.0011925,1.5e-06,-1.5e-06,4.93e-05,-4.93e-05
15.0,10.0,20.0,-0.0009211,1.1e-06,-1.1e-06,4.2e-05,-4.2e-05
7.5,5.0,10.0,-0.0007708,1.1e-06,-1.1e-06,3.73e-05,-3.73e-05
2.5,0.0,5.0,-0.0006796,9e-07,-9e-07,3.39e-05,-3.39e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00693,2e-05,-2e-05,0.00013,-0.00013
65.0,60.0,70.0,-0.002198,1.1e-05,-1.1e-05,5.9e-05,-5.9e-05
55.0,50.0,60.0,-0.000513,6e-06,-6e-06,2.8e-05,-2.8e-05
45.0,40.0,50.0,8.9e-05,4e-06,-4e-06,1.3e-05,-1.3e-05
35.0,30.0,40.0,0.000264,2e-06,-2e-06,8e-06,-8e-06
25.0,20.0,30.0,0.0002966,1.5e-06,-1.5e-06,7.8e-06,-7.8e-06
15.0,10.0,20.0,0.0002776,1.1e-06,-1.1e-06,8.7e-06,-8.7e-06
7.5,5.0,10.0,0.0002476,1.1e-06,-1.1e-06,9.2e-06,-9.2e-06
2.5,0.0,5.0,0.0002182,9e-07,-9e-07,1e-05,-1e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00638,2e-05,-2e-05,0.00032,-0.00032
65.0,60.0,70.0,-0.004143,1.2e-05,-1.2e-05,0.000166,-0.000166
55.0,50.0,60.0,-0.002772,7e-06,-7e-06,0.000101,-0.000101
45.0,40.0,50.0,-0.001961,4e-06,-4e-06,7.4e-05,-7.4e-05
35.0,30.0,40.0,-0.001438,3e-06,-3e-06,5.6e-05,-5.6e-05
25.0,20.0,30.0,-0.0010938,1.7e-06,-1.7e-06,4.87e-05,-4.87e-05
15.0,10.0,20.0,-0.0008435,1.1e-06,-1.1e-06,4.1e-05,-4.1e-05
7.5,5.0,10.0,-0.0007015,1.2e-06,-1.2e-06,3.68e-05,-3.68e-05
2.5,0.0,5.0,-0.0006177,1e-06,-1e-06,3.31e-05,-3.31e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00626,2e-05,-2e-05,0.00052,-0.00052
65.0,60.0,70.0,-0.001939,1.2e-05,-1.2e-05,0.000135,-0.000135
55.0,50.0,60.0,-0.000313,7e-06,-7e-06,4.3e-05,-4.3e-05
45.0,40.0,50.0,0.000226,4e-06,-4e-06,1.2e-05,-1.2e-05
35.0,30.0,40.0,0.00036,3e-06,-3e-06,4e-06,-4e-06
25.0,20.0,30.0,0.0003602,1.7e-06,-1.7e-06,1.6e-06,-1.6e-06
15.0,10.0,20.0,0.0003232,1.1e-06,-1.1e-06,2.1e-06,-2.1e-06
7.5,5.0,10.0,0.0002827,1.2e-06,-1.2e-06,2.5e-06,-2.5e-06
2.5,0.0,5.0,0.0002479,1e-06,-1e-06,1.6e-06,-1.6e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.006083,1.5e-05,-1.5e-05,0.000282,-0.000282
65.0,60.0,70.0,-0.003872,8e-06,-8e-06,0.000178,-0.000178
55.0,50.0,60.0,-0.002591,4e-06,-4e-06,0.000117,-0.000117
45.0,40.0,50.0,-0.001825,2e-06,-2e-06,8.5e-05,-8.5e-05
35.0,30.0,40.0,-0.0013309,1.5e-06,-1.5e-06,6.47e-05,-6.47e-05
25.0,20.0,30.0,-0.0010136,1e-06,-1e-06,5.3e-05,-5.3e-05
15.0,10.0,20.0,-0.0007829,7e-07,-7e-07,4.37e-05,-4.37e-05
7.5,5.0,10.0,-0.0006497,7e-07,-7e-07,3.83e-05,-3.83e-05
2.5,0.0,5.0,-0.0005701,6e-07,-6e-07,3.43e-05,-3.43e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.006206,1.5e-05,-1.5e-05,0.000171,-0.000171
65.0,60.0,70.0,-0.001843,8e-06,-8e-06,8.5e-05,-8.5e-05
55.0,50.0,60.0,-0.0002,4e-06,-4e-06,4.6e-05,-4.6e-05
45.0,40.0,50.0,0.000298,2e-06,-2e-06,2.8e-05,-2.8e-05
35.0,30.0,40.0,0.000417,1.5e-06,-1.5e-06,1.96e-05,-1.96e-05
25.0,20.0,30.0,0.0003948,1e-06,-1e-06,1.63e-05,-1.63e-05
15.0,10.0,20.0,0.0003397,7e-07,-7e-07,1.42e-05,-1.42e-05
7.5,5.0,10.0,0.0002933,7e-07,-7e-07,1.38e-05,-1.38e-05
2.5,0.0,5.0,0.0002572,6e-07,-6e-07,1.34e-05,-1.34e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
