#: table_doi: 10.17182/hepdata.159952.v1/t13
#: name: Figure 9
#: description: Centrality dependence of $N_{\rm part}\Delta\gamma^{112}$ (red squares) and $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (blue circles) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{112}(\kappa_{\rm{bg}}=2.5)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure9.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.02,0.017,-0.017,0.007,-0.007,0.007,-0.007
65.0,60.0,70.0,0.0061,0.0073,-0.0073,0.0024,-0.0024,0.0017,-0.0017
55.0,50.0,60.0,0.0165,0.0041,-0.0041,0.0007,-0.0007,0.0033,-0.0033
45.0,40.0,50.0,0.02796,0.00278,-0.00278,0.00014,-0.00014,0.00383,-0.00383
35.0,30.0,40.0,0.029,0.002,-0.002,0.003,-0.003,0.003,-0.003
25.0,20.0,30.0,0.022,0.0024,-0.0024,0.0013,-0.0013,0.0014,-0.0014
15.0,10.0,20.0,0.0217,0.0031,-0.0031,0,0,0.0008,-0.0008
7.5,5.0,10.0,0.0234,0.0078,-0.0078,0.0025,-0.0025,0.0005,-0.0005
2.5,0.0,5.0,0.00728,0.02188,-0.02188,0,0,4e-05,-4e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.08,0.05,-0.05,0.09,-0.09,0.03,-0.03
65.0,60.0,70.0,-0.0019,0.015,-0.015,0.0123,-0.0123,0.0005,-0.0005
55.0,50.0,60.0,0.0047,0.0077,-0.0077,0.0006,-0.0006,0.0009,-0.0009
45.0,40.0,50.0,-0.0047,0.0049,-0.0049,0.0011,-0.0011,0.0006,-0.0006
35.0,30.0,40.0,0.0022,0.0041,-0.0041,0.0033,-0.0033,0.0002,-0.0002
25.0,20.0,30.0,-0.0091,0.0042,-0.0042,0.0015,-0.0015,0.0006,-0.0006
15.0,10.0,20.0,-0.00392,0.00553,-0.00553,0.00267,-0.00267,0.00015,-0.00015
7.5,5.0,10.0,0.000459,0.013835,-0.013835,0.003712,-0.003712,9e-06,-9e-06
2.5,0.0,5.0,0.0001572,0.0412611,-0.0412611,0.0230501,-0.0230501,9e-07,-9e-07

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.018,0.016,-0.016,0.007,-0.007,0.007,-0.007
65.0,60.0,70.0,0.001,0.0068,-0.0068,0.0023,-0.0023,0.0003,-0.0003
55.0,50.0,60.0,0.0038,0.0038,-0.0038,0.0006,-0.0006,0.0007,-0.0007
45.0,40.0,50.0,0.0066,0.0025,-0.0025,0.0004,-0.0004,0.0009,-0.0009
35.0,30.0,40.0,0.00092,0.00213,-0.00213,0.0024,-0.0024,9e-05,-9e-05
25.0,20.0,30.0,-0.0082,0.0021,-0.0021,0.0017,-0.0017,0.0005,-0.0005
15.0,10.0,20.0,-0.0065,0.0029,-0.0029,0.0009,-0.0009,0.0002,-0.0002
7.5,5.0,10.0,0.00143,0.00738,-0.00738,0.00208,-0.00208,3e-05,-3e-05
2.5,0.0,5.0,-0.00548,0.02122,-0.02122,0,0,3e-05,-3e-05
